"Date","Bottom Temperature (oC)"
1993-01-01,6.815
1993-01-02,6.73
1993-01-03,6.627
1993-01-04,6.589
1993-01-05,6.516
1993-01-06,6.489
1993-01-07,6.469
1993-01-08,6.405
1993-01-09,6.33
1993-01-10,6.31
1993-01-11,6.282
1993-01-12,6.178
1993-01-13,6.136
1993-01-14,6.015
1993-01-15,5.881
1993-01-16,5.702
1993-01-17,5.589
1993-01-18,5.496
1993-01-19,5.359
1993-01-20,5.216
1993-01-21,5.137
1993-01-22,5.112
1993-01-23,5.11
1993-01-24,5.117
1993-01-25,5.131
1993-01-26,5.099
1993-01-27,5.077
1993-01-28,5.08
1993-01-29,5.02
1993-01-30,4.936
1993-01-31,4.818
1993-02-01,4.793
1993-02-02,4.82
1993-02-03,4.784
1993-02-04,4.731
1993-02-05,4.587
1993-02-06,4.517
1993-02-07,4.41
1993-02-08,4.379
1993-02-09,4.292
1993-02-10,4.246
1993-02-11,4.227
1993-02-12,4.159
1993-02-13,4.144
1993-02-14,4.128
1993-02-15,4.109
1993-02-16,4.105
1993-02-17,4.118
1993-02-18,4.114
1993-02-19,4.08
1993-02-20,4.02
1993-02-21,3.964
1993-02-22,3.944
1993-02-23,3.951
1993-02-24,3.96
1993-02-25,3.947
1993-02-26,3.904
1993-02-27,3.88
1993-02-28,3.856
1993-03-01,3.875
1993-03-02,3.834
1993-03-03,3.826
1993-03-04,3.819
1993-03-05,3.791
1993-03-06,3.773
1993-03-07,3.723
1993-03-08,3.685
1993-03-09,3.677
1993-03-10,3.67
1993-03-11,3.675
1993-03-12,3.694
1993-03-13,3.683
1993-03-14,3.663
1993-03-15,3.642
1993-03-16,3.605
1993-03-17,3.568
1993-03-18,3.553
1993-03-19,3.499
1993-03-20,3.46
1993-03-21,3.443
1993-03-22,3.43
1993-03-23,3.441
1993-03-24,3.454
1993-03-25,3.484
1993-03-26,3.504
1993-03-27,3.533
1993-03-28,3.57
1993-03-29,3.595
1993-03-30,3.636
1993-03-31,3.701
1993-04-01,3.775
1993-04-02,3.855
1993-04-03,3.913
1993-04-04,3.988
1993-04-05,4.067
1993-04-06,4.11
1993-04-07,4.199
1993-04-08,4.285
1993-04-09,4.349
1993-04-10,4.422
1993-04-11,4.495
1993-04-12,4.542
1993-04-13,4.603
1993-04-14,4.658
1993-04-15,4.675
1993-04-16,4.677
1993-04-17,4.671
1993-04-18,4.641
1993-04-19,4.615
1993-04-20,4.625
1993-04-21,4.673
1993-04-22,4.732
1993-04-23,4.755
1993-04-24,4.7
1993-04-25,4.81
1993-04-26,4.95
1993-04-27,4.984
1993-04-28,5.087
1993-04-29,5.166
1993-04-30,5.173
1993-05-01,5.155
1993-05-02,5.117
1993-05-03,5.112
1993-05-04,5.098
1993-05-05,5.054
1993-05-06,5.047
1993-05-07,5.03
1993-05-08,5.09
1993-05-09,5.112
1993-05-10,5.156
1993-05-11,5.184
1993-05-12,5.187
1993-05-13,5.226
1993-05-14,5.253
1993-05-15,5.322
1993-05-16,5.389
1993-05-17,5.419
1993-05-18,5.46
1993-05-19,5.514
1993-05-20,5.528
1993-05-21,5.542
1993-05-22,5.562
1993-05-23,5.593
1993-05-24,5.623
1993-05-25,5.628
1993-05-26,5.637
1993-05-27,5.669
1993-05-28,5.695
1993-05-29,5.739
1993-05-30,5.758
1993-05-31,5.82
1993-06-01,5.907
1993-06-02,5.921
1993-06-03,5.923
1993-06-04,5.951
1993-06-05,5.986
1993-06-06,6.002
1993-06-07,5.992
1993-06-08,6.005
1993-06-09,6.005
1993-06-10,5.96
1993-06-11,5.908
