"Date","Bottom Temperature (oC)"
1993-01-01,1.239
1993-01-02,1.155
1993-01-03,0.856
1993-01-04,0.739
1993-01-05,0.786
1993-01-06,0.783
1993-01-07,0.805
1993-01-08,0.805
1993-01-09,0.748
1993-01-10,0.532
1993-01-11,0.432
1993-01-12,0.36
1993-01-13,0.282
1993-01-14,0.156
1993-01-15,0.115
1993-01-16,0.083
1993-01-17,0.052
1993-01-18,-0.035
1993-01-19,-0.266
1993-01-20,-0.57
1993-01-21,-0.681
1993-01-22,-0.761
1993-01-23,-0.814
1993-01-24,-0.767
1993-01-25,-0.687
1993-01-26,-0.598
1993-01-27,-0.603
1993-01-28,-0.613
1993-01-29,-0.57
1993-01-30,-0.609
1993-01-31,-0.722
1993-02-01,-0.832
1993-02-02,-0.928
1993-02-03,-0.928
1993-02-04,-0.958
1993-02-05,-1.005
1993-02-06,-1.079
1993-02-07,-1.162
1993-02-08,-1.233
1993-02-09,-1.293
1993-02-10,-1.342
1993-02-11,-1.389
1993-02-12,-1.42
1993-02-13,-1.464
1993-02-14,-1.457
1993-02-15,-1.349
1993-02-16,-1.327
1993-02-17,-1.354
1993-02-18,-1.269
1993-02-19,-1.237
1993-02-20,-1.256
1993-02-21,-1.283
1993-02-22,-1.332
1993-02-23,-1.364
1993-02-24,-1.354
1993-02-25,-1.335
1993-02-26,-1.308
1993-02-27,-1.286
1993-02-28,-1.307
1993-03-01,-1.329
1993-03-02,-1.286
1993-03-03,-1.271
1993-03-04,-1.255
1993-03-05,-1.313
1993-03-06,-1.4
1993-03-07,-1.387
1993-03-08,-1.391
1993-03-09,-1.373
1993-03-10,-1.399
1993-03-11,-1.398
1993-03-12,-1.422
1993-03-13,-1.435
1993-03-14,-1.464
1993-03-15,-1.439
1993-03-16,-1.422
1993-03-17,-1.434
1993-03-18,-1.391
1993-03-19,-1.371
1993-03-20,-1.346
1993-03-21,-1.309
1993-03-22,-1.277
1993-03-23,-1.203
1993-03-24,-1.142
1993-03-25,-1.103
1993-03-26,-1.027
1993-03-27,-0.921
1993-03-28,-0.806
1993-03-29,-0.717
1993-03-30,-0.685
1993-03-31,-0.57
1993-04-01,-0.389
1993-04-02,-0.329
1993-04-03,-0.252
1993-04-04,-0.084
1993-04-05,0.126
1993-04-06,0.348
1993-04-07,0.556
1993-04-08,0.776
1993-04-09,0.994
1993-04-10,1.224
1993-04-11,1.479
1993-04-12,1.716
1993-04-13,1.88
1993-04-14,1.953
1993-04-15,1.998
1993-04-16,2.109
1993-04-17,2.27
1993-04-18,2.478
1993-04-19,2.714
1993-04-20,2.979
1993-04-21,3.23
1993-04-22,3.443
1993-04-23,3.603
1993-04-24,3.813
1993-04-25,3.944
1993-04-26,4.073
1993-04-27,4.175
1993-04-28,4.048
1993-04-29,4.044
1993-04-30,4.058
1993-05-01,4.091
1993-05-02,4.141
1993-05-03,4.232
1993-05-04,4.379
1993-05-05,4.515
1993-05-06,4.675
1993-05-07,4.869
1993-05-08,5.035
1993-05-09,5.177
1993-05-10,5.24
1993-05-11,5.255
1993-05-12,5.305
1993-05-13,5.381
1993-05-14,5.398
1993-05-15,5.401
1993-05-16,5.434
1993-05-17,5.574
1993-05-18,5.728
1993-05-19,5.848
1993-05-20,5.863
