"Date","Bottom Temperature (oC)"
1993-01-01,5.379
1993-01-02,5.248
1993-01-03,4.597
1993-01-04,4.567
1993-01-05,5.248
1993-01-06,5.253
1993-01-07,5.296
1993-01-08,5.427
1993-01-09,5.005
1993-01-10,4.186
1993-01-11,3.785
1993-01-12,3.675
1993-01-13,3.536
1993-01-14,2.908
1993-01-15,2.528
1993-01-16,2.559
1993-01-17,2.548
1993-01-18,2.614
1993-01-19,2.831
1993-01-20,2.823
1993-01-21,2.763
1993-01-22,2.824
1993-01-23,2.971
1993-01-24,3.284
1993-01-25,3.422
1993-01-26,3.485
1993-01-27,3.21
1993-01-28,3.18
1993-01-29,3.201
1993-01-30,3.184
1993-01-31,2.793
1993-02-01,2.275
1993-02-02,1.686
1993-02-03,1.13
1993-02-04,1.38
1993-02-05,1.551
1993-02-06,1.643
1993-02-07,1.041
1993-02-08,0.723
1993-02-09,1.043
1993-02-10,0.823
1993-02-11,1.174
1993-02-12,1.024
1993-02-13,0.377
1993-02-14,0.763
1993-02-15,0.971
1993-02-16,0.934
1993-02-17,1.023
1993-02-18,1.22
1993-02-19,1.023
1993-02-20,0.797
1993-02-21,0.703
1993-02-22,0.371
1993-02-23,0.4
1993-02-24,0.51
1993-02-25,0.638
1993-02-26,0.519
1993-02-27,0.407
1993-02-28,0.024
1993-03-01,-0.293
1993-03-02,0.133
1993-03-03,0.375
1993-03-04,0.373
1993-03-05,0.336
1993-03-06,-0.009
1993-03-07,-0.037
1993-03-08,0.182
1993-03-09,0.314
1993-03-10,0.277
1993-03-11,0.361
1993-03-12,0.302
1993-03-13,0.227
1993-03-14,0.362
1993-03-15,0.089
1993-03-16,0.146
1993-03-17,0.296
1993-03-18,0.58
1993-03-19,0.251
1993-03-20,0.285
1993-03-21,0.472
1993-03-22,0.646
1993-03-23,0.882
1993-03-24,1.035
1993-03-25,1.001
1993-03-26,1.193
1993-03-27,1.529
1993-03-28,1.63
1993-03-29,1.916
1993-03-30,2.159
1993-03-31,2.332
1993-04-01,2.523
1993-04-02,2.252
1993-04-03,2.053
1993-04-04,2.206
1993-04-05,2.051
1993-04-06,2.257
1993-04-07,2.236
1993-04-08,2.411
1993-04-09,2.415
1993-04-10,2.814
1993-04-11,2.892
1993-04-12,2.729
1993-04-13,2.989
1993-04-14,3.103
1993-04-15,3.195
1993-04-16,3.206
1993-04-17,3.1
1993-04-18,2.541
1993-04-19,2.676
1993-04-20,3.037
1993-04-21,3.355
1993-04-22,3.57
1993-04-23,3.669
1993-04-24,3.406
1993-04-25,3.753
1993-04-26,3.445
1993-04-27,3.608
1993-04-28,3.633
1993-04-29,3.94
1993-04-30,4.153
1993-05-01,4.2
1993-05-02,4.206
1993-05-03,4.515
1993-05-04,4.56
1993-05-05,4.787
1993-05-06,4.94
1993-05-07,4.959
1993-05-08,5.334
1993-05-09,5.457
1993-05-10,5.896
1993-05-11,6.03
1993-05-12,6.261
1993-05-13,6.742
1993-05-14,6.563
1993-05-15,6.742
1993-05-16,6.65
1993-05-17,6.447
1993-05-18,6.46
1993-05-19,6.658
1993-05-20,6.649
1993-05-21,6.81
1993-05-22,6.694
1993-05-23,6.758
1993-05-24,6.572
1993-05-25,6.587
1993-05-26,6.804
1993-05-27,6.786
1993-05-28,6.632
1993-05-29,6.556
1993-05-30,6.589
1993-05-31,6.251
1993-06-01,7.201
1993-06-02,7.638
1993-06-03,7.236
1993-06-04,7.215
1993-06-05,6.991
1993-06-06,7.329
1993-06-07,7.936
1993-06-08,7.479
1993-06-09,7.707
1993-06-10,7.566
1993-06-11,7.46
1993-06-12,7.575
1993-06-13,7.987
1993-06-14,8.067
1993-06-15,8
1993-06-16,7.821
1993-06-17,7.776
1993-06-18,7.796
1993-06-19,7.913
1993-06-20,7.523
1993-06-21,7.703
1993-06-22,7.864
1993-06-23,7.122
1993-06-24,6.666
1993-06-25,6.87
1993-06-26,7.034
1993-06-27,7.285
1993-06-28,7.58
1993-06-29,7.709
1993-06-30,7.581
1993-07-01,7.518
1993-07-02,7.652
1993-07-03,8.031
1993-07-04,8.383
1993-07-05,7.709
1993-07-06,7.786
1993-07-07,7.763
1993-07-08,7.865
1993-07-09,8.42
1993-07-10,8.82
1993-07-11,9.091
1993-07-12,9.057
1993-07-13,9.323
1993-07-14,9.364
1993-07-15,9.677
1993-07-16,9.788
1993-07-17,9.689
1993-07-18,9.93
1993-07-19,10.519
1993-07-20,11.288
1993-07-21,12.426
1993-07-22,12.232
1993-07-23,12.459
1993-07-24,12.439
1993-07-25,12.485
1993-07-26,12.681
1993-07-27,13.253
1993-07-28,13.845
1993-07-29,14.06
1993-07-30,14.222
1993-07-31,14.196
1993-08-01,13.951
1993-08-02,14.081
1993-08-03,14.095
1993-08-04,14.038
1993-08-05,14.074
1993-08-06,13.884
1993-08-07,13.676
1993-08-08,13.963
1993-08-09,14.105
1993-08-10,14.513
1993-08-11,15.023
1993-08-12,15.317
1993-08-13,15.436
1993-08-14,15.551
1993-08-15,15.428
1993-08-16,15.381
1993-08-17,15.623
1993-08-18,15.883
1993-08-19,16.177
1993-08-20,16.394
1993-08-21,16.4
1993-08-22,16.092
1993-08-23,16.172
1993-08-24,15.93
1993-08-25,15.881
1993-08-26,15.404
1993-08-27,14.905
1993-08-28,15.042
1993-08-29,14.436
1993-08-30,13.937
1993-08-31,14.17
1993-09-01,14.566
1993-09-02,14.444
1993-09-03,15.222
1993-09-04,15.626
1993-09-05,14.984
1993-09-06,15.249
1993-09-07,15.501
1993-09-08,15.717
1993-09-09,15.991
1993-09-10,16.355
1993-09-11,16.324
1993-09-12,14.752
1993-09-13,14.129
1993-09-14,13.803
1993-09-15,13.733
1993-09-16,13.408
1993-09-17,13.144
1993-09-18,13.262
1993-09-19,13.176
1993-09-20,12.91
1993-09-21,12.412
1993-09-22,12.295
1993-09-23,12.79
1993-09-24,12.854
1993-09-25,12.206
1993-09-26,12.314
1993-09-27,12.609
1993-09-28,12.928
1993-09-29,12.889
1993-09-30,12.784
1993-10-01,12.56
1993-10-02,12.579
1993-10-03,12.827
1993-10-04,12.56
1993-10-05,12.249
1993-10-06,11.745
1993-10-07,11.252
1993-10-08,10.881
1993-10-09,10.737
1993-10-10,10.74
1993-10-11,10.337
1993-10-12,10.552
1993-10-13,10.894
1993-10-14,10.344
1993-10-15,10.419
1993-10-16,10.309
1993-10-17,10.452
1993-10-18,10.609
1993-10-19,10.353
1993-10-20,10.355
1993-10-21,10.338
1993-10-22,10.404
1993-10-23,10.031
1993-10-24,9.693
1993-10-25,9.615
1993-10-26,9.39
1993-10-27,9.349
1993-10-28,9.461
1993-10-29,9.423
1993-10-30,9.525
1993-10-31,9.678
1993-11-01,9.658
1993-11-02,9.651
1993-11-03,9.449
1993-11-04,9.532
1993-11-05,9.484
1993-11-06,9.602
1993-11-07,9.573
1993-11-08,9.313
1993-11-09,9.223
1993-11-10,9.12
1993-11-11,9.023
1993-11-12,8.941
1993-11-13,8.908
1993-11-14,8.783
1993-11-15,9.045
1993-11-16,9.017
1993-11-17,8.889
1993-11-18,8.976
