"Date","Bottom Temperature (oC)"
1993-01-01,1.985
1993-01-02,1.959
1993-01-03,1.46
1993-01-04,1.204
1993-01-05,1.156
1993-01-06,1.326
1993-01-07,1.362
1993-01-08,1.381
1993-01-09,1.255
1993-01-10,0.979
1993-01-11,0.824
1993-01-12,0.603
1993-01-13,0.495
1993-01-14,0.331
1993-01-15,0.162
1993-01-16,0.058
1993-01-17,-0.041
1993-01-18,-0.08
1993-01-19,-0.324
1993-01-20,-0.624
1993-01-21,-0.76
1993-01-22,-0.821
1993-01-23,-0.865
1993-01-24,-0.753
1993-01-25,-0.615
1993-01-26,-0.42
1993-01-27,-0.208
1993-01-28,-0.276
1993-01-29,-0.265
1993-01-30,-0.238
1993-01-31,-0.221
1993-02-01,-0.338
1993-02-02,-0.714
1993-02-03,-1.066
1993-02-04,-1.164
1993-02-05,-1.199
1993-02-06,-1.232
1993-02-07,-1.289
1993-02-08,-1.314
1993-02-09,-1.362
1993-02-10,-1.392
1993-02-11,-1.406
1993-02-12,-1.42
1993-02-13,-1.439
1993-02-14,-1.463
1993-02-15,-1.455
1993-02-16,-1.425
1993-02-17,-1.443
1993-02-18,-1.404
1993-02-19,-1.302
1993-02-20,-1.349
1993-02-21,-1.293
1993-02-22,-1.299
1993-02-23,-1.295
1993-02-24,-1.251
1993-02-25,-1.19
1993-02-26,-1.201
1993-02-27,-1.244
1993-02-28,-1.301
1993-03-01,-1.383
1993-03-02,-1.347
1993-03-03,-1.311
1993-03-04,-1.205
1993-03-05,-1.172
1993-03-06,-1.319
1993-03-07,-1.332
1993-03-08,-1.265
1993-03-09,-1.145
1993-03-10,-1.097
1993-03-11,-1.112
1993-03-12,-1.198
1993-03-13,-1.211
1993-03-14,-1.233
1993-03-15,-1.04
1993-03-16,-1.004
1993-03-17,-0.951
1993-03-18,-0.641
1993-03-19,-0.733
1993-03-20,-0.756
1993-03-21,-0.685
1993-03-22,-0.672
1993-03-23,-0.59
1993-03-24,-0.507
1993-03-25,-0.468
1993-03-26,-0.377
1993-03-27,-0.322
1993-03-28,-0.267
1993-03-29,-0.208
1993-03-30,0.007
1993-03-31,0.284
1993-04-01,0.219
1993-04-02,0.186
1993-04-03,0.134
1993-04-04,0.066
1993-04-05,0.01
1993-04-06,0.062
1993-04-07,0.125
1993-04-08,0.17
1993-04-09,0.238
1993-04-10,0.366
1993-04-11,0.604
1993-04-12,0.726
1993-04-13,0.635
1993-04-14,0.211
1993-04-15,-0.009
1993-04-16,-0.097
1993-04-17,-0.051
1993-04-18,0.144
1993-04-19,0.234
1993-04-20,0.376
1993-04-21,0.564
1993-04-22,0.79
1993-04-23,1.023
1993-04-24,1.175
1993-04-25,1.147
1993-04-26,1.286
1993-04-27,1.201
1993-04-28,1.139
1993-04-29,1.465
1993-04-30,1.539
1993-05-01,1.439
1993-05-02,1.434
1993-05-03,1.571
1993-05-04,1.783
1993-05-05,1.734
1993-05-06,1.936
1993-05-07,1.955
1993-05-08,1.984
1993-05-09,2.015
1993-05-10,2.082
1993-05-11,2.182
1993-05-12,2.346
1993-05-13,2.76
1993-05-14,2.935
1993-05-15,2.96
1993-05-16,3.008
1993-05-17,2.939
1993-05-18,2.779
1993-05-19,2.665
1993-05-20,2.63
1993-05-21,2.681
1993-05-22,2.741
1993-05-23,2.734
1993-05-24,2.761
1993-05-25,2.66
1993-05-26,2.601
1993-05-27,2.587
1993-05-28,2.615
1993-05-29,2.737
1993-05-30,2.929
1993-05-31,3.433
1993-06-01,4.27
1993-06-02,4.676
1993-06-03,4.193
1993-06-04,4.079
1993-06-05,3.886
1993-06-06,3.904
1993-06-07,4.16
1993-06-08,4.256
1993-06-09,4.278
1993-06-10,4.261
1993-06-11,4.451
1993-06-12,4.831
1993-06-13,5.545
1993-06-14,5.687
1993-06-15,5.748
1993-06-16,5.89
1993-06-17,5.86
1993-06-18,5.865
1993-06-19,5.737
1993-06-20,5.625
1993-06-21,5.728
1993-06-22,5.548
1993-06-23,5.266
1993-06-24,5.433
1993-06-25,6.036
1993-06-26,6.498
1993-06-27,6.559
1993-06-28,6.61
1993-06-29,6.702
1993-06-30,6.543
1993-07-01,6.29
1993-07-02,6.26
1993-07-03,6.317
1993-07-04,6.777
1993-07-05,7.017
1993-07-06,7.351
1993-07-07,7.99
1993-07-08,9.003
1993-07-09,9.735
1993-07-10,9.901
1993-07-11,9.89
1993-07-12,9.817
1993-07-13,9.91
1993-07-14,10.002
1993-07-15,10.103
1993-07-16,10.051
1993-07-17,9.882
1993-07-18,9.834
1993-07-19,10.108
1993-07-20,10.638
1993-07-21,11.146
1993-07-22,11.152
1993-07-23,10.824
