"Date","25 m","29 m","34 m"
1993-01-01,3.029,3.052,3.798
1993-01-02,3.178,3.322,3.689
1993-01-03,3.459,3.659,3.665
1993-01-04,3.607,3.845,3.711
1993-01-05,3.855,3.878,3.814
1993-01-06,3.848,3.648,3.982
1993-01-07,3.753,3.309,4.027
1993-01-08,3.536,2.868,3.805
1993-01-09,3.276,2.729,3.58
1993-01-10,3.067,2.841,3.474
1993-01-11,2.895,2.947,3.429
1993-01-12,2.973,3.09,3.416
1993-01-13,3.053,3.135,3.402
1993-01-14,3.032,3.08,3.372
1993-01-15,2.791,2.846,3.358
1993-01-16,2.709,2.521,3.317
1993-01-17,2.652,2.233,3.269
1993-01-18,2.561,1.97,3.172
1993-01-19,2.57,2.169,2.991
1993-01-20,2.348,2.496,2.886
1993-01-21,2.38,2.397,2.839
1993-01-22,2.309,2.079,2.765
1993-01-23,1.946,1.317,2.57
1993-01-24,1.191,0.661,2.21
1993-01-25,0.655,0.677,1.915
1993-01-26,1.485,1.6,1.847
1993-01-27,1.997,2.23,1.913
1993-01-28,2.151,1.995,2.084
1993-01-29,2.072,1.512,2.17
1993-01-30,1.634,1.012,2.024
1993-01-31,1.382,1.196,1.862
1993-02-01,1.305,1.125,1.704
1993-02-02,1.035,0.86,1.622
1993-02-03,0.737,0.512,1.632
1993-02-04,0.619,0.285,1.61
1993-02-05,0.739,0.426,1.622
1993-02-06,0.971,0.69,1.681
1993-02-07,1.061,0.804,1.746
1993-02-08,0.889,0.636,1.594
1993-02-09,0.697,0.59,1.477
1993-02-10,0.618,0.455,1.347
1993-02-11,0.453,0.155,1.073
1993-02-12,0.208,-0.103,0.779
1993-02-13,-0.313,-0.651,0.382
1993-02-14,-0.8,-0.853,-0.098
1993-02-15,-0.77,-0.798,-0.239
1993-02-16,-0.633,-0.669,-0.145
1993-02-17,-0.742,-0.702,-0.039
1993-02-18,-0.589,-0.518,0.031
1993-02-19,-0.556,-0.575,-0.056
1993-02-20,-0.511,-0.48,-0.057
1993-02-21,-0.339,-0.067,0.028
1993-02-22,-0.139,0.167,0.135
1993-02-23,-0.031,0.007,0.343
1993-02-24,-0.129,-0.242,0.487
1993-02-25,-0.146,-0.36,0.505
1993-02-26,-0.135,-0.294,0.374
1993-02-27,-0.071,-0.126,0.388
1993-02-28,-0.069,-0.113,0.508
1993-03-01,-0.239,-0.321,0.588
1993-03-02,-0.353,-0.351,0.615
1993-03-03,-0.157,-0.103,0.622
1993-03-04,0.063,0.127,0.673
1993-03-05,0.095,0.12,0.671
1993-03-06,-0.262,-0.311,0.446
1993-03-07,-0.562,-0.628,0.247
1993-03-08,-0.452,-0.391,0.268
1993-03-09,-0.282,-0.163,0.301
1993-03-10,-0.248,-0.223,0.207
1993-03-11,-0.336,-0.364,0.186
1993-03-12,-0.398,-0.458,0.223
1993-03-13,-0.138,-0.236,0.328
1993-03-14,-0.262,-0.415,0.281
1993-03-15,-0.403,-0.62,0.245
1993-03-16,-0.34,-0.531,0.17
1993-03-17,-0.332,-0.547,-0.085
1993-03-18,-0.245,-0.594,-0.086
1993-03-19,-0.325,-0.553,-0.131
1993-03-20,-0.517,-0.65,-0.165
1993-03-21,-0.606,-0.633,-0.165
1993-03-22,-0.545,-0.546,-0.149
