"Date","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m"
1993-01-01,5.753,5.953,6.842,7.281,7.541,8.128,8.647,8.918,8.862
1993-01-02,5.676,5.959,6.945,7.352,7.562,8.138,8.605,9.005,8.803
1993-01-03,5.651,5.651,6.866,7.378,7.577,8.099,8.599,9.103,8.699
1993-01-04,5.546,5.502,6.768,7.352,7.528,8.004,8.557,9.087,8.679
1993-01-05,5.562,5.499,6.862,7.371,7.527,8.079,8.542,9.071,8.563
1993-01-06,5.547,5.463,6.746,7.421,7.599,8.138,8.529,9.208,8.494
1993-01-07,5.484,5.474,6.262,7.388,7.587,8.06,8.579,9.251,8.458
1993-01-08,5.449,5.41,6.283,7.332,7.498,8.029,8.634,9.141,8.338
1993-01-09,5.297,5.29,6.11,7.183,7.393,7.992,8.625,9.01,8.317
1993-01-10,5.045,5.094,5.901,7.087,7.298,7.892,8.598,8.882,8.433
1993-01-11,4.881,4.949,5.732,6.985,7.22,7.818,8.565,8.834,8.561
1993-01-12,4.779,4.809,5.672,6.893,7.184,7.814,8.56,8.844,8.584
1993-01-13,4.666,4.66,5.737,6.863,7.192,7.82,8.555,8.914,8.615
1993-01-14,4.428,4.427,5.44,6.849,7.272,7.883,8.588,9.029,8.66
1993-01-15,4.001,4.096,5.159,6.901,7.343,7.918,8.601,9.108,8.739
1993-01-16,3.874,3.998,5.172,6.913,7.438,8.053,8.724,9.177,8.761
1993-01-17,3.841,3.931,5.026,6.839,7.552,8.175,8.82,9.329,8.797
1993-01-18,3.674,3.763,4.802,6.832,7.644,8.231,8.883,9.5,8.81
1993-01-19,3.544,3.622,4.669,6.831,7.781,8.393,9.02,9.514,8.855
1993-01-20,3.147,3.276,4.386,6.903,7.866,8.446,9.088,9.565,8.777
1993-01-21,2.802,2.996,4.275,6.991,7.83,8.326,9.031,9.555,8.793
1993-01-22,2.694,2.917,4.149,6.979,7.795,8.214,8.943,9.442,8.905
1993-01-23,2.744,2.923,4.075,6.935,7.771,8.135,8.936,9.375,8.925
1993-01-24,2.945,3.055,4.204,6.854,7.769,8.043,8.94,9.325,8.948
1993-01-25,3.166,3.157,4.274,6.787,7.781,7.982,8.982,9.329,8.917
1993-01-26,3.275,3.256,4.144,6.801,7.812,7.976,9.04,9.371,8.958
1993-01-27,3.146,3.21,4.24,6.814,7.8,7.998,9.076,9.373,9.054
1993-01-28,2.983,3.089,4.018,6.703,7.743,7.898,9.047,9.351,8.938
1993-01-29,2.979,3.143,3.941,6.689,7.747,7.921,9.113,9.186,8.709
1993-01-30,2.967,3.153,3.747,6.595,7.744,7.957,9.085,9.192,8.483
1993-01-31,2.747,2.947,3.883,6.608,7.777,8.039,9.022,9.424,8.389
1993-02-01,2.454,2.77,3.509,6.553,7.716,8.052,8.948,9.498,8.537
1993-02-02,2.146,2.545,3.166,6.556,7.622,7.976,8.885,9.301,8.615
1993-02-03,1.915,2.25,2.815,6.448,7.536,7.844,8.924,8.999,8.775
1993-02-04,1.886,2.113,2.964,6.329,7.518,7.804,8.941,8.949,8.889
1993-02-05,1.908,2.071,3.305,6.149,7.482,7.833,8.927,9.066,8.888
1993-02-06,2.016,2.122,3.251,5.984,7.453,7.84,8.903,9.221,8.853
1993-02-07,1.78,1.978,2.956,5.869,7.381,7.815,8.884,9.344,8.859
1993-02-08,1.58,1.854,2.881,5.905,7.308,7.733,8.868,9.402,8.898
1993-02-09,1.566,1.813,2.822,5.962,7.347,7.756,8.912,9.355,8.908
1993-02-10,1.328,1.634,2.602,5.713,7.316,7.793,8.913,9.341,8.916
1993-02-11,1.257,1.562,2.464,5.631,7.276,7.772,8.863,9.289,8.872
1993-02-12,1.043,1.381,2.418,5.572,7.204,7.722,8.785,9.2,8.789
1993-02-13,0.891,1.203,2.235,5.506,7.123,7.62,8.669,8.997,8.809
1993-02-14,1.179,1.406,2.229,5.713,7.165,7.564,8.628,8.808,8.815
1993-02-15,1.328,1.503,2.113,5.594,7.162,7.598,8.564,8.779,8.718
1993-02-16,1.24,1.42,1.985,5.282,7.092,7.584,8.466,8.803,8.582
1993-02-17,1.129,1.36,2.094,5.2,6.936,7.461,8.381,8.678,8.535
1993-02-18,1.464,1.572,2.259,5.315,6.919,7.357,8.291,8.629,8.503
1993-02-19,1.414,1.562,2.077,5.115,6.784,7.248,8.199,8.665,8.458
1993-02-20,1.165,1.427,2.098,4.834,6.631,7.106,8.154,8.548,8.49
1993-02-21,1.035,1.328,2.052,4.767,6.476,6.943,8.066,8.458,8.497
1993-02-22,0.922,1.228,1.939,4.569,6.307,6.836,7.973,8.363,8.567
1993-02-23,0.896,1.202,1.875,4.378,6.183,6.758,7.864,8.319,8.639
1993-02-24,0.922,1.208,1.841,4.409,6.118,6.72,7.804,8.277,8.635
1993-02-25,0.919,1.213,1.861,4.298,6.073,6.741,7.811,8.193,8.567
1993-02-26,0.967,1.268,1.978,4.229,5.972,6.777,7.82,8.12,8.483
1993-02-27,0.957,1.173,1.892,4.157,5.901,6.795,7.814,8.057,8.441
1993-02-28,1.005,1.144,1.85,4.123,5.843,6.779,7.801,8.018,8.479
1993-03-01,1.239,1.25,1.631,4.244,5.803,6.779,7.768,8.071,8.682
1993-03-02,1.187,1.285,1.774,4.499,6.095,6.981,7.939,8.047,8.708
1993-03-03,1.031,1.21,1.832,4.333,6.247,7.066,8.037,7.813,8.568
1993-03-04,1.003,1.182,1.808,4.238,6.258,7.102,8.003,7.623,8.347
1993-03-05,1.202,1.322,1.971,4.408,6.22,7.107,7.969,7.574,8.317
1993-03-06,1.637,1.591,1.827,4.95,6.204,7.088,7.902,7.723,8.505
1993-03-07,1.85,1.845,1.89,5.356,6.398,7.204,7.895,7.977,8.743
1993-03-08,1.487,1.715,2.222,5.442,6.544,7.3,7.917,7.878,8.594
1993-03-09,1.34,1.553,2.319,5.22,6.547,7.261,7.877,7.543,8.34
1993-03-10,1.457,1.581,2.4,5.221,6.482,7.233,7.868,7.453,8.261
1993-03-11,1.537,1.643,2.406,5.403,6.509,7.294,7.864,7.519,8.359
1993-03-12,1.522,1.66,2.423,5.468,6.616,7.447,7.863,7.552,8.417
1993-03-13,1.48,1.715,2.637,5.515,6.71,7.517,7.883,7.476,8.379
1993-03-14,1.501,1.643,2.391,5.338,6.717,7.543,7.904,7.507,8.418
1993-03-15,1.638,1.774,2.405,5.462,6.954,7.623,7.885,7.267,8.014
1993-03-16,1.463,1.611,2.585,5.343,7.031,7.572,7.666,7.221,7.538
1993-03-17,1.473,1.595,2.611,5.442,7.014,7.546,7.604,7.347,7.441
1993-03-18,1.565,1.705,2.818,5.567,6.914,7.487,7.523,7.43,7.359
1993-03-19,1.478,1.691,2.686,5.304,6.8,7.354,7.401,7.501,7.597
1993-03-20,1.397,1.672,2.358,5.452,6.753,7.227,7.279,7.367,7.935
1993-03-21,1.415,1.677,2.303,5.528,6.766,7.171,7.238,7.324,8.11
1993-03-22,1.448,1.694,2.331,5.13,6.692,7.109,7.215,7.401,8.18
1993-03-23,1.565,1.87,2.812,5.077,6.597,7.056,7.186,7.454,8.142
1993-03-24,1.578,1.784,2.999,4.845,6.439,7.035,7.127,7.446,8.144
1993-03-25,1.572,1.781,3.215,4.896,6.329,7.046,7.126,7.449,8.193
1993-03-26,1.607,1.912,3.352,4.983,6.285,7.109,7.168,7.478,8.148
1993-03-27,1.575,1.891,3.151,4.719,6.229,7.153,7.235,7.529,8.09
1993-03-28,1.584,1.925,3.153,4.706,6.165,7.113,7.3,7.567,8.057
1993-03-29,1.565,1.908,3.109,4.773,6.121,7.053,7.326,7.578,8.078
1993-03-30,1.598,1.901,3.108,4.859,6.115,7.006,7.341,7.56,8.125
1993-03-31,1.733,2.088,3.284,5.001,6.155,7.012,7.387,7.617,8.153
1993-04-01,1.78,2.077,3.254,4.958,6.165,6.971,7.441,7.71,8.158
1993-04-02,1.88,2.146,3.314,5.033,6.2,6.916,7.478,7.81,8.192
1993-04-03,2.053,2.356,3.479,4.939,6.256,6.915,7.529,7.914,8.243
1993-04-04,2.104,2.417,3.555,4.766,6.292,6.907,7.593,7.998,8.314
1993-04-05,2.21,2.548,3.648,4.844,6.354,6.915,7.647,8.079,8.371
1993-04-06,2.254,2.641,3.67,4.726,6.4,6.942,7.686,8.191,8.371
1993-04-07,2.269,2.668,3.606,4.584,6.398,6.969,7.715,8.291,8.332
1993-04-08,2.282,2.644,3.533,4.588,6.363,6.998,7.72,8.333,8.172
1993-04-09,2.449,2.601,3.42,4.706,6.325,6.991,7.714,8.327,8.026
1993-04-10,2.675,2.693,3.389,4.92,6.315,6.967,7.676,8.304,7.878
1993-04-11,2.799,2.767,3.287,4.949,6.317,6.948,7.595,8.246,7.837
1993-04-12,2.923,2.826,3.187,4.922,6.307,6.92,7.521,8.177,7.816
1993-04-13,3.103,2.93,3.137,4.865,6.303,6.903,7.47,8.111,7.835
1993-04-14,3.287,3.12,3.172,4.821,6.296,6.896,7.445,8.065,7.845
1993-04-15,3.443,3.281,3.295,4.799,6.291,6.938,7.4,8.026,7.869
1993-04-16,3.566,3.41,3.455,4.831,6.278,6.965,7.351,7.999,7.823
1993-04-17,3.663,3.508,3.588,4.836,6.253,6.976,7.263,8.074,7.647
1993-04-18,3.771,3.643,3.741,4.701,6.209,6.982,7.141,8.306,7.398
1993-04-19,3.846,3.74,3.872,4.638,6.179,6.968,7.06,8.82,7.568
1993-04-20,3.985,3.862,3.953,4.624,6.066,6.909,7.033,8.996,8.202
1993-04-21,4.117,4.019,4.09,4.784,6.02,6.857,7.078,9.134,8.492
1993-04-22,4.067,4.094,4.109,4.794,6.035,6.774,7.236,9.298,8.773
1993-04-23,3.984,4.161,4.118,4.779,6.073,6.717,7.583,9.441,8.974
1993-04-24,4.177,4.31,4.159,4.712,6.102,6.803,8.003,9.578,9.084
1993-04-25,4.29,4.331,4.167,4.582,6.05,6.967,8.24,9.715,9.223
1993-04-26,4.217,4.323,4.227,4.751,5.965,6.923,8.307,9.794,9.251
1993-04-27,4.306,4.383,4.187,4.815,5.993,6.946,8.327,9.856,9.239
1993-04-28,4.368,4.386,4.175,4.555,5.966,6.975,8.339,9.87,9.299
1993-04-29,4.467,4.401,4.212,4.901,6.022,6.992,8.264,9.764,9.343
1993-04-30,4.556,4.446,4.307,5.244,6.195,7.119,8.24,9.636,9.312
1993-05-01,4.67,4.569,4.386,5.15,6.304,7.331,8.272,9.521,9.26
1993-05-02,4.788,4.662,4.47,5.051,6.389,7.54,8.282,9.433,9.196
1993-05-03,4.821,4.66,4.51,4.999,6.41,7.645,8.251,9.358,9.103
