"Date","222 m","318 m","380 m","902 m","1245 m"
1993-01-01,8.697,7.571,7.53,3.766,3.526
1993-01-02,8.629,6.825,7.09,3.783,3.535
1993-01-03,8.681,7.144,7.202,3.763,3.542
1993-01-04,8.903,7.715,7.648,3.743,3.552
1993-01-05,8.516,6.932,6.872,3.765,3.566
1993-01-06,7.477,6.684,6.431,3.774,3.578
1993-01-07,7.54,6.969,6.98,3.754,3.576
1993-01-08,7.803,7.229,7.261,3.7,3.567
1993-01-09,8.031,6.757,7.18,3.647,3.557
1993-01-10,8.278,7.44,7.643,3.643,3.537
1993-01-11,8.609,6.881,7.904,3.656,3.518
1993-01-12,8.752,6.129,7.259,3.674,3.497
1993-01-13,8.956,6.369,7.246,3.667,3.483
1993-01-14,9.298,6.514,7.687,3.647,3.477
1993-01-15,9.388,6.515,8.56,3.619,3.481
1993-01-16,9.159,5.95,8.038,3.633,3.488
1993-01-17,9.335,6.186,7.284,3.673,3.505
1993-01-18,9.431,6.51,7.822,3.682,3.523
1993-01-19,9.613,5.654,6.55,3.719,3.543
1993-01-20,9.851,6.032,7.308,3.72,3.55
1993-01-21,9.655,6.69,7.7,3.729,3.55
1993-01-22,9.617,7.193,8.684,3.742,3.562
1993-01-23,9.829,6.955,8.318,3.786,3.563
1993-01-24,9.986,6.92,7.442,3.802,3.535
1993-01-25,9.924,7.235,7.651,3.771,3.498
1993-01-26,8.619,6.145,6.71,3.77,3.472
1993-01-27,7.538,6.209,6.952,3.752,3.461
1993-01-28,8.443,7.209,7.527,3.724,3.463
1993-01-29,8.604,6.512,7.135,3.748,3.488
1993-01-30,7.88,6.173,6.558,3.781,3.51
1993-01-31,7.166,6.075,5.605,3.81,3.511
1993-02-01,7.303,6.254,6.369,3.803,3.505
1993-02-02,7.664,7.163,7.039,3.781,3.487
1993-02-03,8.336,8.428,7.871,3.737,3.463
1993-02-04,8.882,7.453,7.876,3.717,3.429
1993-02-05,9.021,6.069,7.189,3.706,3.385
1993-02-06,9.241,6.521,7.212,3.653,3.337
1993-02-07,9.285,6.787,7.227,3.632,3.295
1993-02-08,9.356,7.453,8.084,3.58,3.263
1993-02-09,9.693,6.194,7.196,3.608,3.253
1993-02-10,9.817,7.016,7.675,3.629,3.254
1993-02-11,9.765,6.685,7.616,3.654,3.265
1993-02-12,9.73,6.629,7.497,3.718,3.286
1993-02-13,9.722,7.855,8.927,3.718,3.3
1993-02-14,9.14,5.826,7.41,3.738,3.314
1993-02-15,8.034,5.587,5.411,3.775,3.332
1993-02-16,8.345,5.83,6.383,3.717,3.347
1993-02-17,8.664,6.41,6.837,3.684,3.366
1993-02-18,7.588,6.187,5.803,3.654,3.383
1993-02-19,6.393,5.944,5.876,3.626,3.414
1993-02-20,7.04,6.535,6.513,3.588,3.454
1993-02-21,7.593,6.128,6.273,3.592,3.502
1993-02-22,7.278,6.101,6.397,3.623,3.558
1993-02-23,7.417,6.22,6.519,3.661,3.601
1993-02-24,7.373,6.134,6.457,3.714,3.643
