"Date","644 m","763 m","1062 m","1245 m","1452 m","1684 m","1942 m","2225 m","2533 m","2866 m","3221 m","3597 m","3992 m","4405 m"
1993-01-01,4.828,4.383,3.65,3.464,3.457,3.457,3.46,3.398,3.206,2.763,2.384,2.031,1.877,1.86
1993-01-02,4.912,4.446,3.67,3.465,3.455,3.459,3.462,3.409,3.224,2.772,2.397,2.042,1.874,1.862
1993-01-03,4.825,4.37,3.654,3.5,3.459,3.46,3.467,3.436,3.235,2.778,2.408,2.045,1.87,1.863
1993-01-04,4.858,4.467,3.725,3.552,3.456,3.464,3.475,3.457,3.248,2.783,2.412,2.044,1.866,1.862
1993-01-05,4.964,4.597,3.796,3.547,3.447,3.464,3.48,3.472,3.262,2.782,2.407,2.044,1.863,1.858
1993-01-06,4.823,4.447,3.715,3.509,3.44,3.466,3.474,3.475,3.299,2.795,2.405,2.051,1.861,1.852
1993-01-07,4.672,4.296,3.678,3.525,3.439,3.458,3.458,3.458,3.346,2.823,2.41,2.064,1.859,1.844
1993-01-08,4.882,4.464,3.765,3.581,3.446,3.456,3.45,3.44,3.366,2.845,2.411,2.075,1.857,1.843
1993-01-09,5.103,4.6,3.818,3.558,3.436,3.451,3.441,3.416,3.352,2.864,2.414,2.084,1.855,1.846
1993-01-10,5.075,4.566,3.816,3.544,3.42,3.432,3.428,3.397,3.327,2.891,2.429,2.099,1.859,1.852
1993-01-11,5.146,4.672,3.871,3.555,3.398,3.404,3.405,3.368,3.281,2.886,2.434,2.112,1.866,1.856
1993-01-12,5.083,4.666,3.861,3.525,3.384,3.39,3.384,3.346,3.229,2.87,2.43,2.117,1.876,1.856
1993-01-13,4.852,4.491,3.817,3.521,3.385,3.382,3.372,3.331,3.188,2.871,2.432,2.117,1.891,1.856
1993-01-14,4.79,4.444,3.797,3.529,3.379,3.366,3.358,3.307,3.145,2.861,2.424,2.107,1.907,1.855
1993-01-15,4.814,4.51,3.766,3.5,3.361,3.344,3.341,3.295,3.111,2.845,2.405,2.084,1.918,1.855
1993-01-16,4.729,4.464,3.727,3.442,3.345,3.329,3.329,3.29,3.098,2.83,2.375,2.051,1.919,1.854
1993-01-17,4.484,4.124,3.693,3.387,3.326,3.313,3.314,3.282,3.101,2.819,2.348,2.015,1.913,1.852
1993-01-18,4.395,4.036,3.675,3.368,3.306,3.298,3.298,3.268,3.107,2.817,2.349,1.991,1.903,1.85
1993-01-19,4.462,4.149,3.62,3.344,3.29,3.286,3.282,3.234,3.079,2.805,2.362,1.976,1.894,1.849
1993-01-20,4.433,4.141,3.557,3.312,3.279,3.277,3.266,3.2,3.04,2.791,2.369,1.968,1.888,1.848
1993-01-21,4.385,4.131,3.517,3.316,3.272,3.262,3.247,3.144,2.994,2.781,2.361,1.965,1.887,1.849
1993-01-22,4.444,4.221,3.481,3.337,3.269,3.261,3.228,3.058,2.93,2.758,2.346,1.969,1.89,1.85
1993-01-23,4.492,4.361,3.459,3.386,3.275,3.264,3.218,3.038,2.882,2.725,2.349,1.987,1.895,1.853
1993-01-24,4.407,4.285,3.501,3.451,3.285,3.258,3.215,3.053,2.854,2.687,2.359,2.01,1.899,1.855
1993-01-25,4.317,4.129,3.587,3.514,3.302,3.254,3.219,3.085,2.855,2.665,2.366,2.018,1.9,1.855
1993-01-26,4.317,4.13,3.623,3.527,3.307,3.248,3.225,3.107,2.871,2.669,2.381,2.01,1.898,1.854
1993-01-27,4.285,4.097,3.593,3.502,3.3,3.249,3.23,3.131,2.901,2.69,2.411,2.007,1.894,1.852
1993-01-28,4.263,4.078,3.575,3.499,3.317,3.272,3.246,3.15,2.934,2.703,2.437,2.015,1.889,1.849
1993-01-29,4.43,4.167,3.552,3.487,3.336,3.292,3.253,3.126,2.931,2.689,2.433,2.034,1.888,1.847
1993-01-30,4.451,4.157,3.519,3.468,3.342,3.302,3.256,3.116,2.917,2.668,2.414,2.067,1.893,1.845
1993-01-31,4.386,4.079,3.536,3.5,3.373,3.331,3.274,3.13,2.904,2.629,2.382,2.105,1.904,1.843
1993-02-01,4.354,3.997,3.58,3.546,3.413,3.363,3.292,3.13,2.871,2.552,2.319,2.128,1.922,1.843
1993-02-02,4.401,3.994,3.656,3.596,3.467,3.409,3.319,3.163,2.858,2.474,2.244,2.129,1.945,1.847
1993-02-03,4.635,4.119,3.717,3.595,3.485,3.432,3.34,3.205,2.862,2.416,2.171,2.107,1.97,1.855
1993-02-04,4.816,4.309,3.714,3.54,3.465,3.429,3.353,3.253,2.897,2.409,2.118,2.072,1.998,1.873
