"Date","131 m","454 m","541 m","644 m","763 m","902 m","1062 m","1245 m","1452 m","1684 m","1942 m","2225 m","2533 m","2866 m","3221 m","3597 m","3992 m","4405 m","4833 m"
1993-01-01,1.734,6.07,4.885,4.412,4.449,4.271,3.969,3.721,3.473,3.448,3.402,3.27,3.045,2.673,2.314,2.129,1.976,1.872,1.822
1993-01-02,1.768,5.995,5.057,4.372,4.496,4.249,3.941,3.731,3.473,3.443,3.398,3.265,3.041,2.68,2.323,2.135,1.976,1.869,1.824
1993-01-03,1.995,5.865,5.212,4.346,4.485,4.225,3.93,3.735,3.477,3.438,3.393,3.264,3.04,2.694,2.335,2.143,1.977,1.866,1.823
1993-01-04,2.165,5.746,5.294,4.377,4.434,4.184,3.923,3.739,3.486,3.436,3.388,3.268,3.045,2.714,2.348,2.153,1.979,1.864,1.823
1993-01-05,2.351,5.649,5.371,4.348,4.375,4.177,3.942,3.75,3.493,3.434,3.381,3.27,3.047,2.726,2.354,2.159,1.981,1.862,1.823
1993-01-06,2.4,5.493,5.271,4.372,4.282,4.144,3.918,3.753,3.498,3.434,3.377,3.265,3.046,2.723,2.351,2.159,1.981,1.861,1.824
1993-01-07,2.552,5.59,5.209,4.461,4.288,4.171,3.943,3.773,3.519,3.442,3.377,3.268,3.052,2.724,2.348,2.158,1.981,1.861,1.825
1993-01-08,2.584,6.116,5.196,4.497,4.379,4.242,4.002,3.795,3.54,3.45,3.378,3.277,3.06,2.727,2.344,2.157,1.982,1.862,1.827
1993-01-09,2.553,6.301,5.226,4.548,4.446,4.277,4.033,3.817,3.555,3.454,3.38,3.275,3.06,2.717,2.338,2.154,1.983,1.864,1.828
1993-01-10,2.662,6.451,5.396,4.624,4.524,4.328,4.062,3.841,3.577,3.46,3.381,3.276,3.062,2.711,2.337,2.151,1.984,1.867,1.829
1993-01-11,2.859,6.557,5.644,4.781,4.626,4.366,4.089,3.873,3.601,3.468,3.384,3.282,3.067,2.711,2.337,2.147,1.985,1.869,1.83
1993-01-12,3.093,6.52,5.871,4.827,4.603,4.368,4.105,3.886,3.612,3.474,3.386,3.281,3.067,2.696,2.331,2.14,1.984,1.872,1.83
1993-01-13,3.251,6.519,5.926,4.878,4.613,4.349,4.118,3.893,3.629,3.481,3.389,3.277,3.065,2.676,2.324,2.132,1.983,1.874,1.831
1993-01-14,3.352,6.564,5.918,4.884,4.588,4.349,4.143,3.898,3.638,3.487,3.389,3.278,3.064,2.664,2.322,2.128,1.981,1.875,1.831
1993-01-15,3.451,6.475,5.957,4.919,4.674,4.385,4.175,3.928,3.648,3.493,3.39,3.282,3.067,2.666,2.325,2.128,1.98,1.877,1.83
1993-01-16,3.643,6.39,5.919,4.929,4.641,4.397,4.18,3.939,3.643,3.491,3.387,3.285,3.065,2.67,2.331,2.131,1.979,1.878,1.83
1993-01-17,3.695,6.196,5.828,4.84,4.605,4.379,4.16,3.934,3.633,3.481,3.384,3.284,3.062,2.68,2.342,2.134,1.978,1.879,1.83
1993-01-18,3.777,6.076,5.759,4.762,4.587,4.378,4.166,3.931,3.638,3.477,3.381,3.288,3.066,2.697,2.357,2.138,1.977,1.879,1.83
1993-01-19,3.827,6.111,5.74,4.671,4.514,4.368,4.168,3.932,3.639,3.475,3.38,3.288,3.068,2.707,2.368,2.138,1.974,1.877,1.83
1993-01-20,3.816,6.099,5.636,4.628,4.465,4.357,4.163,3.942,3.643,3.475,3.379,3.282,3.064,2.707,2.371,2.137,1.973,1.877,1.83
1993-01-21,3.793,6.321,5.544,4.666,4.496,4.392,4.197,3.972,3.666,3.486,3.38,3.279,3.06,2.713,2.376,2.139,1.974,1.878,1.831
1993-01-22,3.685,6.649,5.598,4.75,4.587,4.452,4.243,4.022,3.691,3.503,3.381,3.278,3.055,2.719,2.38,2.141,1.975,1.88,1.831
1993-01-23,3.618,6.613,5.641,4.739,4.546,4.461,4.246,4.05,3.686,3.505,3.379,3.267,3.039,2.71,2.378,2.141,1.976,1.881,1.83
1993-01-24,3.717,6.566,5.633,4.748,4.606,4.461,4.245,4.055,3.694,3.506,3.377,3.258,3.027,2.706,2.38,2.144,1.977,1.881,1.83
1993-01-25,3.836,6.503,5.64,4.709,4.521,4.46,4.249,4.062,3.691,3.506,3.374,3.254,3.019,2.711,2.386,2.149,1.979,1.88,1.829
1993-01-26,3.743,6.437,5.595,4.75,4.466,4.433,4.235,4.059,3.684,3.5,3.37,3.249,3.012,2.713,2.393,2.154,1.982,1.879,1.828
1993-01-27,3.738,6.054,5.403,4.785,4.358,4.381,4.214,4.041,3.671,3.493,3.366,3.246,3.009,2.717,2.401,2.159,1.986,1.878,1.827
1993-01-28,3.963,6.057,5.25,4.949,4.345,4.342,4.216,4.05,3.683,3.5,3.364,3.253,3.018,2.73,2.409,2.162,1.99,1.877,1.825
1993-01-29,5.361,5.973,5.15,4.869,4.297,4.299,4.216,4.032,3.658,3.502,3.361,3.254,3.018,2.728,2.402,2.159,1.993,1.877,1.823
1993-01-30,4.936,5.919,5.001,4.839,4.244,4.256,4.18,4.014,3.648,3.481,3.354,3.243,3.014,2.71,2.387,2.153,1.997,1.878,1.822
1993-01-31,5.647,5.827,4.88,4.758,4.212,4.222,4.171,3.97,3.625,3.474,3.351,3.238,3.007,2.692,2.372,2.147,2.002,1.88,1.822
1993-02-01,5.132,5.75,4.827,4.744,4.174,4.208,4.151,3.97,3.615,3.456,3.345,3.234,3.006,2.684,2.361,2.141,2.006,1.884,1.823
1993-02-02,5.422,6.002,4.792,4.743,4.236,4.225,4.176,3.979,3.631,3.464,3.344,3.245,3.013,2.68,2.354,2.137,2.009,1.888,1.825
1993-02-03,5.361,6.224,4.995,4.76,4.317,4.265,4.171,4.009,3.638,3.466,3.346,3.257,3.017,2.671,2.344,2.131,2.007,1.892,1.828
1993-02-04,5.35,6.09,5.357,4.753,4.405,4.303,4.165,4.017,3.646,3.467,3.346,3.258,3.013,2.651,2.33,2.121,2.002,1.894,1.831
1993-02-05,5.243,5.838,5.392,4.701,4.308,4.266,4.148,3.997,3.648,3.467,3.346,3.258,3.004,2.633,2.319,2.111,1.996,1.894,1.834
1993-02-06,5.466,5.692,5.274,4.604,4.239,4.222,4.145,3.981,3.658,3.472,3.347,3.262,3.005,2.629,2.314,2.106,1.991,1.894,1.837
1993-02-07,5.545,5.541,5.097,4.537,4.15,4.196,4.142,3.977,3.668,3.48,3.353,3.272,3.016,2.635,2.316,2.105,1.987,1.893,1.84
1993-02-08,5.546,5.717,5.009,4.426,4.105,4.185,4.145,3.991,3.689,3.494,3.361,3.283,3.039,2.656,2.324,2.108,1.985,1.891,1.842
1993-02-09,5.76,5.827,4.861,4.34,4.079,4.196,4.146,3.99,3.696,3.498,3.366,3.289,3.056,2.67,2.33,2.11,1.981,1.887,1.843
1993-02-10,6.011,5.5,4.743,4.323,4.053,4.181,4.122,3.964,3.672,3.483,3.363,3.284,3.057,2.668,2.331,2.111,1.978,1.882,1.844
1993-02-11,6.177,5.65,4.544,4.252,4.074,4.173,4.119,3.932,3.678,3.486,3.359,3.279,3.063,2.682,2.339,2.116,1.975,1.877,1.845
1993-02-12,6.489,5.751,4.493,4.223,4.089,4.156,4.123,3.918,3.68,3.491,3.355,3.272,3.068,2.702,2.346,2.123,1.974,1.873,1.846
1993-02-13,6.542,6.116,4.49,4.161,4.107,4.165,4.118,3.928,3.68,3.497,3.356,3.268,3.068,2.72,2.354,2.13,1.974,1.87,1.846
1993-02-14,6.941,6.566,4.589,4.176,4.156,4.186,4.128,3.935,3.698,3.512,3.354,3.264,3.067,2.734,2.362,2.136,1.974,1.868,1.846
1993-02-15,6.907,6.223,4.705,4.152,4.178,4.19,4.097,3.938,3.684,3.505,3.346,3.256,3.058,2.736,2.364,2.138,1.976,1.866,1.845
1993-02-16,6.788,5.979,4.581,4.16,4.169,4.198,4.081,3.921,3.691,3.509,3.347,3.253,3.056,2.743,2.372,2.142,1.979,1.865,1.844
1993-02-17,7.145,6.241,4.664,4.201,4.203,4.206,4.12,3.946,3.727,3.537,3.351,3.256,3.066,2.763,2.382,2.147,1.984,1.865,1.843
1993-02-18,7.331,6.036,4.872,4.288,4.3,4.225,4.152,4.005,3.775,3.574,3.365,3.257,3.07,2.767,2.379,2.148,1.99,1.866,1.841
1993-02-19,7.333,5.527,4.941,4.268,4.234,4.248,4.152,4.031,3.804,3.6,3.375,3.253,3.062,2.749,2.365,2.146,1.994,1.866,1.839
1993-02-20,7.275,5.427,4.834,4.371,4.211,4.237,4.141,4.056,3.844,3.637,3.397,3.257,3.06,2.745,2.361,2.146,1.999,1.868,1.838
1993-02-21,7.448,5.256,4.672,4.395,4.156,4.23,4.139,4.075,3.888,3.67,3.411,3.263,3.058,2.742,2.358,2.146,2.002,1.87,1.837
1993-02-22,7.307,5.633,4.646,4.519,4.222,4.22,4.125,4.092,3.917,3.703,3.435,3.267,3.058,2.735,2.354,2.146,2.005,1.872,1.837
1993-02-23,7.14,6.134,4.757,4.513,4.333,4.219,4.109,4.1,3.957,3.744,3.456,3.275,3.057,2.729,2.352,2.144,2.005,1.875,1.838
1993-02-24,6.705,6.268,4.886,4.532,4.365,4.215,4.093,4.111,3.963,3.755,3.467,3.274,3.049,2.716,2.343,2.139,2.004,1.877,1.839
1993-02-25,6.7,6.186,4.889,4.713,4.386,4.22,4.083,4.092,3.962,3.757,3.474,3.274,3.044,2.704,2.337,2.135,2.003,1.879,1.841
1993-02-26,6.846,6.294,4.957,4.771,4.439,4.222,4.077,4.087,3.955,3.764,3.478,3.278,3.042,2.705,2.338,2.134,2.002,1.881,1.843
1993-02-27,7.013,6.301,5.035,4.771,4.454,4.227,4.071,4.085,3.944,3.765,3.478,3.277,3.04,2.708,2.341,2.134,2.001,1.882,1.845
1993-02-28,7.032,6.345,5.069,4.78,4.48,4.248,4.075,4.078,3.937,3.767,3.477,3.275,3.039,2.712,2.347,2.135,2,1.883,1.847
1993-03-01,6.867,6.507,5.119,4.798,4.545,4.285,4.091,4.076,3.935,3.77,3.48,3.276,3.04,2.723,2.355,2.134,1.997,1.884,1.849
1993-03-02,6.828,6.536,5.249,4.761,4.548,4.298,4.092,4.077,3.926,3.764,3.478,3.268,3.038,2.724,2.359,2.133,1.994,1.885,1.85
1993-03-03,6.743,6.196,5.137,4.746,4.468,4.268,4.074,4.067,3.913,3.743,3.47,3.251,3.03,2.718,2.361,2.135,1.991,1.885,1.85
1993-03-04,6.615,6.056,5.063,4.73,4.465,4.28,4.086,4.061,3.917,3.743,3.471,3.252,3.033,2.723,2.369,2.14,1.988,1.885,1.851
1993-03-05,6.709,6.109,5.146,4.759,4.519,4.311,4.117,4.068,3.928,3.758,3.478,3.26,3.039,2.726,2.375,2.142,1.985,1.885,1.851
1993-03-06,6.393,6.265,5.258,4.845,4.603,4.361,4.156,4.092,3.944,3.777,3.488,3.26,3.041,2.716,2.375,2.139,1.98,1.885,1.852
1993-03-07,6.131,6.297,5.564,4.992,4.838,4.465,4.218,4.131,3.968,3.808,3.5,3.262,3.037,2.699,2.369,2.133,1.975,1.885,1.853
1993-03-08,6.076,5.621,5.691,4.885,4.736,4.479,4.208,4.147,3.957,3.798,3.485,3.244,3.014,2.666,2.353,2.122,1.972,1.886,1.853
1993-03-09,5.7,5.574,5.365,4.808,4.593,4.392,4.182,4.136,3.963,3.765,3.465,3.223,2.989,2.636,2.337,2.114,1.97,1.886,1.854
1993-03-10,5.586,5.532,5.348,5.007,4.703,4.427,4.215,4.148,4.006,3.808,3.484,3.234,2.99,2.638,2.335,2.114,1.97,1.885,1.855
1993-03-11,6.279,5.519,5.49,5.048,4.79,4.516,4.269,4.179,4.029,3.847,3.504,3.245,2.982,2.637,2.335,2.113,1.969,1.881,1.853
1993-03-12,6.096,5.667,5.605,5.021,4.739,4.533,4.284,4.208,4.035,3.85,3.507,3.228,2.962,2.612,2.327,2.106,1.965,1.875,1.849
1993-03-13,5.772,5.46,5.62,4.957,4.589,4.519,4.282,4.219,4.033,3.855,3.505,3.218,2.948,2.601,2.321,2.099,1.96,1.869,1.846
1993-03-14,5.466,5.638,5.592,5.094,4.62,4.479,4.284,4.223,4.06,3.872,3.533,3.245,2.963,2.618,2.32,2.099,1.957,1.864,1.842
1993-03-15,5.91,5.953,5.628,4.984,4.667,4.52,4.314,4.241,4.067,3.895,3.552,3.272,2.973,2.627,2.315,2.102,1.956,1.86,1.84
1993-03-16,5.774,5.405,5.499,4.856,4.508,4.481,4.294,4.236,4.038,3.862,3.541,3.255,2.964,2.615,2.307,2.108,1.956,1.857,1.837
1993-03-17,5.635,5.598,5.449,4.939,4.521,4.442,4.275,4.234,4.044,3.861,3.549,3.268,2.985,2.629,2.314,2.117,1.958,1.854,1.835
1993-03-18,5.758,5.798,5.436,4.86,4.487,4.422,4.27,4.221,4.041,3.859,3.56,3.297,3.016,2.656,2.328,2.121,1.958,1.852,1.835
1993-03-19,5.513,5.692,5.425,4.757,4.38,4.408,4.261,4.196,4.021,3.833,3.564,3.298,3.032,2.665,2.332,2.115,1.956,1.85,1.834
1993-03-20,5.534,5.853,5.482,4.757,4.342,4.388,4.246,4.192,4.032,3.841,3.572,3.308,3.05,2.677,2.334,2.109,1.954,1.849,1.833
1993-03-21,5.47,6.061,5.588,4.76,4.355,4.384,4.232,4.201,4.045,3.849,3.575,3.318,3.062,2.691,2.333,2.106,1.955,1.848,1.832
1993-03-22,5.411,5.938,5.647,4.816,4.388,4.349,4.218,4.21,4.042,3.848,3.568,3.316,3.064,2.689,2.327,2.104,1.956,1.847,1.833
1993-03-23,5.429,5.628,5.611,4.751,4.363,4.312,4.204,4.214,4.028,3.841,3.549,3.314,3.071,2.69,2.327,2.104,1.96,1.845,1.834
1993-03-24,5.387,5.562,5.52,4.66,4.314,4.269,4.196,4.207,4.007,3.821,3.536,3.318,3.08,2.705,2.334,2.105,1.964,1.844,1.835
1993-03-25,5.392,5.89,5.604,4.645,4.356,4.242,4.18,4.198,4.004,3.82,3.531,3.324,3.091,2.723,2.344,2.107,1.967,1.843,1.835
1993-03-26,4.949,5.786,5.703,4.554,4.309,4.235,4.168,4.188,3.985,3.81,3.517,3.316,3.088,2.724,2.348,2.109,1.967,1.843,1.834
1993-03-27,4.636,5.691,5.626,4.492,4.286,4.231,4.16,4.167,3.965,3.778,3.497,3.295,3.074,2.712,2.348,2.111,1.968,1.845,1.834
1993-03-28,4.525,5.844,5.571,4.544,4.311,4.231,4.159,4.153,3.958,3.762,3.48,3.282,3.068,2.71,2.356,2.114,1.97,1.848,1.833
1993-03-29,4.475,6.013,5.588,4.606,4.321,4.239,4.159,4.149,3.953,3.749,3.463,3.269,3.059,2.711,2.362,2.115,1.974,1.852,1.831
1993-03-30,4.393,6.115,5.725,4.618,4.364,4.26,4.161,4.151,3.946,3.738,3.445,3.257,3.045,2.701,2.359,2.114,1.976,1.854,1.829
1993-03-31,4.261,6.245,5.753,4.698,4.442,4.283,4.162,4.147,3.94,3.729,3.436,3.251,3.031,2.688,2.348,2.11,1.977,1.857,1.826
1993-04-01,4.251,6.218,5.797,4.733,4.436,4.323,4.166,4.148,3.941,3.722,3.433,3.252,3.02,2.677,2.338,2.103,1.976,1.86,1.821
1993-04-02,4.372,6.385,5.836,4.887,4.543,4.379,4.178,4.161,3.971,3.738,3.44,3.262,3.012,2.667,2.328,2.096,1.974,1.863,1.817
