"Date","110 m","131 m","156 m"
1993-01-01,8.22,8.155,7.919
1993-01-02,8.218,8.114,7.908
1993-01-03,8.224,8.087,7.898
1993-01-04,8.126,8.162,7.918
1993-01-05,8.227,8.148,7.927
1993-01-06,8.255,8.064,7.913
1993-01-07,8.184,8.067,7.914
1993-01-08,7.974,8.133,7.932
1993-01-09,7.855,8.136,7.935
1993-01-10,7.775,8.127,7.932
1993-01-11,7.815,8.124,7.942
1993-01-12,7.922,8.081,7.94
1993-01-13,7.85,8.042,7.938
1993-01-14,7.555,8.023,7.947
1993-01-15,7.043,7.961,7.957
1993-01-16,7.022,7.84,7.955
1993-01-17,7.069,7.753,7.933
1993-01-18,6.841,7.659,7.915
1993-01-19,6.66,7.627,7.929
1993-01-20,6.642,7.663,7.947
1993-01-21,6.554,7.647,7.938
1993-01-22,6.381,7.583,7.929
1993-01-23,6.263,7.514,7.936
1993-01-24,6.288,7.478,7.927
1993-01-25,6.333,7.442,7.907
1993-01-26,6.456,7.447,7.899
1993-01-27,6.896,7.521,7.905
1993-01-28,6.799,7.45,7.895
1993-01-29,6.481,7.417,7.907
1993-01-30,6.333,7.467,7.917
1993-01-31,6.522,7.627,7.918
1993-02-01,6.446,7.527,7.904
1993-02-02,6.167,7.262,7.86
1993-02-03,6.187,7.097,7.861
1993-02-04,6.139,7.091,7.787
1993-02-05,5.956,6.883,7.719
1993-02-06,5.798,6.722,7.718
1993-02-07,5.822,6.67,7.739
1993-02-08,5.7,6.416,7.655
1993-02-09,5.514,6.265,7.666
1993-02-10,5.584,6.423,7.747
1993-02-11,5.612,6.334,7.724
1993-02-12,5.654,6.46,7.802
1993-02-13,5.542,6.394,7.764
1993-02-14,5.109,5.919,7.591
1993-02-15,5.192,5.984,7.704
1993-02-16,5.581,6.314,7.802
1993-02-17,5.659,6.116,7.607
1993-02-18,5.294,5.88,7.613
1993-02-19,5.508,6.394,7.826
1993-02-20,5.713,6.567,7.744
1993-02-21,5.533,6.369,7.669
1993-02-22,5.175,6.324,7.709
1993-02-23,4.88,6.17,7.641
1993-02-24,4.817,6.134,7.56
1993-02-25,4.833,6.105,7.451
1993-02-26,4.872,6.094,7.477
1993-02-27,4.859,6.079,7.525
1993-02-28,4.755,6.087,7.575
1993-03-01,4.609,6.124,7.631
1993-03-02,4.51,6.065,7.666
1993-03-03,4.571,6.181,7.744
1993-03-04,4.604,6.198,7.728
1993-03-05,4.546,6.087,7.675
1993-03-06,4.32,5.657,7.376
1993-03-07,3.978,4.716,6.725
1993-03-08,3.874,4.848,6.971
1993-03-09,4.084,4.986,7.283
1993-03-10,4.155,4.916,7.121
1993-03-11,3.881,4.869,7.067
1993-03-12,3.701,4.798,7.21
1993-03-13,3.744,4.957,7.365
1993-03-14,3.58,4.85,7.096
1993-03-15,3.203,4.521,6.969
1993-03-16,3.845,5.393,7.488
1993-03-17,4.432,5.48,7.417
1993-03-18,4.519,5.356,7.287
1993-03-19,4.57,5.746,7.471
1993-03-20,4.722,5.699,7.395
1993-03-21,4.649,5.665,7.42
1993-03-22,4.559,5.752,7.475
1993-03-23,4.506,5.856,7.472
1993-03-24,4.5,5.826,7.434
1993-03-25,4.36,5.632,7.36
1993-03-26,4.228,5.587,7.395
1993-03-27,4.221,5.655,7.45
1993-03-28,4.181,5.661,7.447
1993-03-29,4.105,5.607,7.444
1993-03-30,4.006,5.549,7.43
1993-03-31,3.924,5.523,7.435
1993-04-01,3.873,5.504,7.387
1993-04-02,3.708,5.309,7.197
1993-04-03,3.507,4.998,7.011
1993-04-04,3.365,4.799,6.952
1993-04-05,3.158,4.426,6.745
1993-04-06,3.021,4.048,6.633
1993-04-07,2.973,3.843,6.606
1993-04-08,2.975,3.779,6.631
1993-04-09,2.977,3.746,6.643
1993-04-10,2.964,3.795,6.724
1993-04-11,2.921,3.814,6.724
1993-04-12,2.847,3.743,6.667
1993-04-13,2.883,3.795,6.828
1993-04-14,2.941,4.02,6.993
1993-04-15,2.871,4.161,7.029
1993-04-16,2.808,4.335,7.048
1993-04-17,2.813,4.383,7.071
1993-04-18,2.792,4.242,7.038
1993-04-19,2.917,4.332,7.194
1993-04-20,3.021,4.67,7.232
1993-04-21,2.997,4.873,7.188
1993-04-22,3.047,5.081,7.22
1993-04-23,3.155,5.189,7.236
1993-04-24,3.269,5.276,7.259
1993-04-25,3.822,5.653,7.283
1993-04-26,4.38,5.479,7.146
1993-04-27,4.387,5.406,7.12
1993-04-28,4.435,5.574,7.135
1993-04-29,4.566,5.571,7.051
1993-04-30,4.42,5.581,7.029
1993-05-01,4.255,5.531,7.073
1993-05-02,4.095,5.445,7.068
1993-05-03,3.879,5.396,7.019
1993-05-04,3.673,5.342,6.953
1993-05-05,3.632,5.386,7.003
1993-05-06,3.55,5.564,7.068
1993-05-07,3.448,5.763,7.148
1993-05-08,3.394,5.79,7.181
1993-05-09,3.366,5.768,7.196
1993-05-10,3.407,5.783,7.22
1993-05-11,3.48,5.758,7.217
1993-05-12,3.508,5.743,7.246
1993-05-13,3.536,5.708,7.268
1993-05-14,3.557,5.694,7.281
1993-05-15,3.602,5.732,7.272
1993-05-16,3.666,5.788,7.246
1993-05-17,3.677,5.821,7.239
1993-05-18,3.713,5.872,7.262
1993-05-19,3.916,5.909,7.247
1993-05-20,4.1,5.896,7.214
1993-05-21,4.129,5.909,7.218
1993-05-22,4.266,5.933,7.199
1993-05-23,4.476,5.967,7.178
1993-05-24,4.679,6.013,7.163
1993-05-25,4.805,6.018,7.136
1993-05-26,4.836,5.986,7.124
1993-05-27,4.679,5.969,7.137
1993-05-28,4.655,5.996,7.13
1993-05-29,4.796,6.009,7.095
1993-05-30,4.836,5.991,7.097
1993-05-31,4.752,6.062,7.101
1993-06-01,5.047,6.045,7.017
1993-06-02,5.342,6.104,6.964
1993-06-03,5.139,6.096,7.021
1993-06-04,4.932,6.05,7.023
1993-06-05,4.965,6.041,6.996
1993-06-06,4.967,6.047,6.992
1993-06-07,4.987,6.074,6.994
1993-06-08,4.993,6.159,7.056
1993-06-09,4.962,6.217,7.06
1993-06-10,5.088,6.28,7.03
1993-06-11,5.089,6.31,7.035
1993-06-12,5.001,6.339,7.052
1993-06-13,4.988,6.358,7.061
1993-06-14,5.024,6.399,7.07
1993-06-15,5.013,6.43,7.078
1993-06-16,4.975,6.436,7.061
1993-06-17,5.014,6.445,7.036
1993-06-18,5.053,6.466,7.032
1993-06-19,5.102,6.477,7.031
1993-06-20,5.118,6.49,7.033
1993-06-21,5.139,6.492,7.034
1993-06-22,5.206,6.491,7.025
1993-06-23,5.186,6.51,7.032
1993-06-24,5.382,6.535,7.013
1993-06-25,5.794,6.515,6.972
1993-06-26,5.926,6.562,6.953
1993-06-27,5.74,6.57,6.985
1993-06-28,5.521,6.471,6.985
1993-06-29,5.492,6.439,6.965
1993-06-30,5.447,6.431,6.956
1993-07-01,5.434,6.431,6.948
1993-07-02,5.48,6.454,6.938
1993-07-03,5.508,6.479,6.929
1993-07-04,5.522,6.492,6.918
1993-07-05,5.48,6.469,6.917
1993-07-06,5.506,6.425,6.911
1993-07-07,5.605,6.435,6.907
1993-07-08,5.62,6.471,6.928
1993-07-09,5.604,6.479,6.946
1993-07-10,5.643,6.477,6.946
1993-07-11,5.72,6.494,6.942
1993-07-12,5.759,6.518,6.953
1993-07-13,5.839,6.549,6.962
1993-07-14,5.904,6.584,6.979
