"Date","56 m","66 m","78 m"
1993-01-01,6.533,7.012,7.085
1993-01-02,6.445,6.916,7.021
1993-01-03,6.382,6.775,6.893
1993-01-04,6.367,6.728,6.825
1993-01-05,6.283,6.65,6.782
1993-01-06,6.279,6.597,6.745
1993-01-07,6.283,6.561,6.704
1993-01-08,6.236,6.494,6.608
1993-01-09,6.176,6.418,6.504
1993-01-10,6.119,6.448,6.486
1993-01-11,6.005,6.491,6.523
1993-01-12,5.873,6.393,6.464
1993-01-13,5.811,6.359,6.451
1993-01-14,5.726,6.205,6.31
1993-01-15,5.625,6.051,6.138
1993-01-16,5.529,5.835,5.849
1993-01-17,5.491,5.668,5.669
1993-01-18,5.424,5.548,5.563
1993-01-19,5.301,5.382,5.439
1993-01-20,5.193,5.211,5.271
1993-01-21,5.138,5.12,5.162
1993-01-22,5.12,5.11,5.1
1993-01-23,5.121,5.114,5.08
1993-01-24,5.142,5.111,5.074
1993-01-25,5.173,5.115,5.073
1993-01-26,5.152,5.067,5.038
1993-01-27,5.147,5.036,5
1993-01-28,5.135,5.059,5.003
1993-01-29,5.061,5.009,4.954
1993-01-30,5.004,4.9,4.852
1993-01-31,4.919,4.75,4.719
1993-02-01,4.894,4.723,4.695
1993-02-02,4.883,4.785,4.746
1993-02-03,4.753,4.829,4.777
1993-02-04,4.679,4.812,4.714
1993-02-05,4.594,4.596,4.558
1993-02-06,4.535,4.514,4.485
1993-02-07,4.432,4.396,4.387
1993-02-08,4.362,4.424,4.348
1993-02-09,4.298,4.324,4.232
1993-02-10,4.239,4.288,4.195
1993-02-11,4.237,4.261,4.154
1993-02-12,4.219,4.135,4.077
1993-02-13,4.187,4.129,4.081
1993-02-14,4.198,4.099,4.033
1993-02-15,4.219,4.044,3.986
1993-02-16,4.211,4.038,3.992
1993-02-17,4.223,4.058,3.999
1993-02-18,4.228,4.043,3.99
1993-02-19,4.184,4.011,3.975
1993-02-20,4.088,3.968,3.964
1993-02-21,4.035,3.914,3.899
1993-02-22,4.004,3.901,3.89
1993-02-23,3.997,3.92,3.907
1993-02-24,4.01,3.922,3.916
1993-02-25,3.995,3.906,3.91
1993-02-26,3.941,3.871,3.878
1993-02-27,3.903,3.859,3.865
1993-02-28,3.851,3.861,3.86
1993-03-01,3.783,3.932,3.971
1993-03-02,3.716,3.896,3.976
1993-03-03,3.71,3.89,3.964
1993-03-04,3.695,3.886,3.968
1993-03-05,3.666,3.857,3.942
1993-03-06,3.652,3.836,3.92
1993-03-07,3.6,3.784,3.879
1993-03-08,3.552,3.753,3.849
1993-03-09,3.539,3.756,3.833
1993-03-10,3.547,3.742,3.807
1993-03-11,3.578,3.732,3.785
1993-03-12,3.6,3.749,3.801
1993-03-13,3.581,3.744,3.796
1993-03-14,3.595,3.698,3.746
1993-03-15,3.517,3.708,3.792
