"Date","131 m","156 m","186 m"
1993-01-01,3.949,6.391,7.133
1993-01-02,4.146,6.599,7.27
1993-01-03,3.998,6.497,7.213
1993-01-04,4.029,6.522,7.274
1993-01-05,4.866,6.894,7.477
1993-01-06,5.567,7.322,7.674
1993-01-07,5.403,7.341,7.731
1993-01-08,5.583,7.569,7.798
1993-01-09,5.734,7.824,7.869
1993-01-10,5.262,7.716,7.742
1993-01-11,4.583,7.377,7.563
1993-01-12,4.339,7.149,7.533
1993-01-13,4.203,6.987,7.496
1993-01-14,4.36,6.901,7.511
1993-01-15,4.32,6.884,7.474
1993-01-16,5.003,7.114,7.622
1993-01-17,5.674,7.563,7.782
1993-01-18,5.941,7.868,7.843
1993-01-19,6.126,7.973,7.897
1993-01-20,6.157,7.845,7.839
1993-01-21,5.414,7.451,7.579
1993-01-22,4.397,6.969,7.223
1993-01-23,4.016,6.682,7.108
1993-01-24,3.997,6.675,7.171
1993-01-25,4.29,6.733,7.299
1993-01-26,5.133,7.026,7.485
1993-01-27,5.684,7.16,7.544
1993-01-28,5.501,7.081,7.497
1993-01-29,5.515,7.013,7.479
1993-01-30,5.382,7.085,7.503
1993-01-31,5.452,7.086,7.517
1993-02-01,5.02,6.947,7.446
1993-02-02,4.535,6.758,7.315
1993-02-03,4.428,6.813,7.318
1993-02-04,4.608,6.988,7.417
1993-02-05,4.967,7.121,7.527
1993-02-06,5.363,7.243,7.57
1993-02-07,5.513,7.169,7.543
1993-02-08,5.354,7.054,7.464
1993-02-09,5.592,7.056,7.479
1993-02-10,5.687,7.125,7.482
1993-02-11,5.781,7.238,7.468
1993-02-12,5.802,7.25,7.45
1993-02-13,5.66,7.211,7.406
1993-02-14,5.716,7.229,7.396
1993-02-15,5.986,7.344,7.416
1993-02-16,6.033,7.336,7.364
1993-02-17,5.727,7.128,7.234
1993-02-18,5.837,7.141,7.235
1993-02-19,5.935,7.113,7.229
1993-02-20,5.536,6.922,7.074
1993-02-21,5.616,6.838,7.055
1993-02-22,5.445,6.785,7.032
1993-02-23,5.04,6.61,6.927
1993-02-24,5.089,6.609,6.944
1993-02-25,5.406,6.772,7.037
1993-02-26,5.769,6.95,7.12
1993-02-27,6.102,7.113,7.202
1993-02-28,6.163,7.157,7.237
1993-03-01,5.751,7.03,7.186
1993-03-02,5.727,7.043,7.219
1993-03-03,5.514,6.991,7.174
1993-03-04,5.451,6.962,7.179
1993-03-05,5.466,7.023,7.215
1993-03-06,4.793,6.844,7.082
1993-03-07,4.098,6.651,6.988
1993-03-08,4.164,6.714,7.092
1993-03-09,4.245,6.793,7.246
1993-03-10,3.82,6.671,7.227
1993-03-11,3.849,6.591,7.273
1993-03-12,4.012,6.865,7.409
1993-03-13,4.363,7.103,7.556
1993-03-14,3.957,7.107,7.496
1993-03-15,5.245,7.63,7.71
1993-03-16,5.93,7.998,7.845
1993-03-17,4.786,7.582,7.552
1993-03-18,4.745,7.217,7.447
1993-03-19,4.387,7.117,7.404
1993-03-20,2.806,6.301,6.889
1993-03-21,2.627,6.027,6.773
1993-03-22,2.453,6.025,6.716
1993-03-23,2.451,5.944,6.728
1993-03-24,2.519,5.95,6.799
1993-03-25,2.426,5.863,6.749
1993-03-26,2.829,6.051,6.882
1993-03-27,3.256,6.432,7.068
1993-03-28,3.409,6.55,7.125
1993-03-29,3.42,6.49,7.125
1993-03-30,3.262,6.396,7.081
1993-03-31,3.095,6.437,7.065
1993-04-01,2.882,6.377,6.996
1993-04-02,2.638,6.283,6.906
1993-04-03,2.29,6.049,6.797
1993-04-04,1.921,5.629,6.543
1993-04-05,1.92,5.367,6.402
1993-04-06,2.058,5.581,6.588
1993-04-07,2.307,5.857,6.758
1993-04-08,2.932,6.164,6.997
1993-04-09,3.295,6.458,7.162
1993-04-10,3.597,6.608,7.262
1993-04-11,3.842,6.938,7.399
1993-04-12,4.129,7.288,7.545
1993-04-13,4.197,7.486,7.622
1993-04-14,4.011,7.379,7.555
1993-04-15,3.433,6.831,7.215
1993-04-16,3.199,6.088,6.817
1993-04-17,3.376,6.009,6.899
1993-04-18,3.66,6.383,7.134
1993-04-19,4.391,6.911,7.478
1993-04-20,5.058,7.45,7.774
1993-04-21,5.34,7.839,7.952
1993-04-22,5.446,8.072,8.083
1993-04-23,5.696,8.146,8.154
1993-04-24,6.056,8.203,8.211
1993-04-25,5.986,7.935,8.132
1993-04-26,4.871,7.346,7.784
1993-04-27,4.272,7.005,7.567
1993-04-28,3.842,6.573,7.227
1993-04-29,3.7,5.935,6.767
1993-04-30,3.539,5.872,6.761
1993-05-01,3.315,5.95,6.878
1993-05-02,3.309,6.145,7.078
1993-05-03,3.604,6.436,7.387
1993-05-04,3.977,6.843,7.623
1993-05-05,4.857,7.429,7.99
1993-05-06,5.734,8.117,8.454
1993-05-07,5.974,8.704,8.675
1993-05-08,6.267,8.76,8.811
1993-05-09,6.631,8.732,8.793
1993-05-10,7.058,8.548,8.856
1993-05-11,6.974,8.474,8.82
1993-05-12,6.345,8.4,8.748
1993-05-13,5.799,8.428,8.693
1993-05-14,5.939,8.559,8.763
1993-05-15,6.096,8.682,8.787
1993-05-16,6.035,8.737,8.726
1993-05-17,6.261,8.807,8.741
1993-05-18,6.951,8.943,8.844
1993-05-19,7.49,9.037,8.876
1993-05-20,7.756,8.979,8.861
1993-05-21,7.871,8.86,8.837
1993-05-22,7.987,8.778,8.831
1993-05-23,8.087,8.724,8.833
1993-05-24,8.076,8.732,8.853
1993-05-25,7.566,8.672,8.811
1993-05-26,6.712,8.379,8.625
1993-05-27,5.863,7.938,8.288
1993-05-28,5.345,7.286,7.852
1993-05-29,5,6.838,7.605
1993-05-30,4.548,6.533,7.5
1993-05-31,4.162,6.071,7.274
1993-06-01,4.007,5.628,7.165
1993-06-02,4.153,5.8,7.413
1993-06-03,4.597,6.308,7.713
1993-06-04,4.969,6.638,7.831
1993-06-05,5.183,6.796,7.865
1993-06-06,5.456,6.98,7.962
1993-06-07,5.567,7.153,8.037
1993-06-08,5.699,7.399,8.151
1993-06-09,5.529,7.454,8.133
1993-06-10,5.386,7.413,8.093
1993-06-11,5.203,7.383,8.043
1993-06-12,5.121,7.369,8.028
1993-06-13,4.99,7.326,7.985
1993-06-14,5.146,7.377,8.029
1993-06-15,5.351,7.497,8.11
1993-06-16,5.602,7.63,8.177
1993-06-17,6.027,7.819,8.28
1993-06-18,6.453,8.001,8.445
1993-06-19,6.691,8.13,8.506
1993-06-20,6.795,8.165,8.539
1993-06-21,6.707,8.164,8.551
1993-06-22,6.46,8.139,8.531
1993-06-23,6.227,8.075,8.464
1993-06-24,5.845,7.919,8.245
1993-06-25,5.041,7.434,7.832
1993-06-26,4.32,7.014,7.681
1993-06-27,3.936,6.885,7.812
1993-06-28,3.822,6.911,7.916
1993-06-29,4.052,7.119,8.075
1993-06-30,4.27,7.249,8.129
1993-07-01,4.494,7.259,8.122
1993-07-02,4.92,7.27,8.173
1993-07-03,5.289,7.404,8.247
1993-07-04,5.649,7.578,8.322
1993-07-05,6.107,7.813,8.385
1993-07-06,6.315,7.962,8.432
1993-07-07,6.412,8.05,8.472
1993-07-08,6.496,8.189,8.494
1993-07-09,6.67,8.281,8.486
1993-07-10,6.902,8.333,8.41
1993-07-11,7.037,8.277,8.374
1993-07-12,7.068,8.201,8.315
1993-07-13,6.953,8.1,8.239
1993-07-14,6.932,8.043,8.212
1993-07-15,6.911,8.013,8.195
1993-07-16,6.864,7.988,8.185
1993-07-17,6.816,7.965,8.195
1993-07-18,6.653,7.925,8.191
1993-07-19,6.269,7.825,8.135
1993-07-20,5.875,7.711,8.084
1993-07-21,5.573,7.652,8.088
1993-07-22,5.516,7.702,8.183
1993-07-23,5.611,7.77,8.268
1993-07-24,5.784,7.828,8.337
1993-07-25,5.829,7.91,8.387
1993-07-26,5.695,7.931,8.384
1993-07-27,5.515,7.929,8.346
1993-07-28,5.61,7.945,8.359
1993-07-29,5.983,8.009,8.403
1993-07-30,6.407,8.053,8.417
1993-07-31,6.561,8.061,8.398
1993-08-01,6.617,8.025,8.365
1993-08-02,6.581,7.991,8.335
1993-08-03,6.428,7.935,8.26
1993-08-04,6.403,7.857,8.198
1993-08-05,6.443,7.806,8.153
1993-08-06,6.466,7.743,8.099
1993-08-07,6.519,7.692,8.061
1993-08-08,6.47,7.617,8.001
1993-08-09,6.426,7.534,7.953
1993-08-10,6.538,7.537,7.971
1993-08-11,6.655,7.575,7.991
1993-08-12,6.816,7.618,8.015
1993-08-13,7.016,7.694,8.047
1993-08-14,7.14,7.755,8.074
1993-08-15,7.173,7.803,8.102
1993-08-16,7.203,7.841,8.119
1993-08-17,7.239,7.859,8.123
1993-08-18,7.196,7.854,8.097
1993-08-19,7.099,7.804,8.053
1993-08-20,6.999,7.754,8.012
1993-08-21,6.916,7.708,7.974
1993-08-22,6.84,7.628,7.93
1993-08-23,6.709,7.519,7.865
1993-08-24,6.583,7.411,7.809
1993-08-25,6.547,7.343,7.807
1993-08-26,6.596,7.351,7.809
1993-08-27,6.695,7.347,7.807
1993-08-28,6.754,7.385,7.819
1993-08-29,6.715,7.394,7.798
1993-08-30,6.626,7.336,7.754
1993-08-31,6.593,7.334,7.745
1993-09-01,6.581,7.364,7.741
1993-09-02,6.571,7.351,7.724
1993-09-03,6.588,7.347,7.725
1993-09-04,6.73,7.425,7.754
1993-09-05,6.88,7.497,7.783
1993-09-06,6.92,7.504,7.791
1993-09-07,6.901,7.483,7.779
1993-09-08,6.833,7.461,7.771
1993-09-09,6.679,7.401,7.728
1993-09-10,6.521,7.341,7.686
1993-09-11,6.466,7.315,7.671
1993-09-12,6.582,7.338,7.673
1993-09-13,6.647,7.325,7.661
1993-09-14,6.633,7.297,7.629
1993-09-15,6.717,7.307,7.647
1993-09-16,6.777,7.332,7.653
1993-09-17,6.396,7.165,7.53
1993-09-18,5.759,6.909,7.341
1993-09-19,5.578,6.81,7.318
1993-09-20,5.62,6.819,7.352
1993-09-21,5.772,6.912,7.404
1993-09-22,5.93,7.007,7.442
1993-09-23,5.89,6.981,7.426
1993-09-24,5.79,6.949,7.404
1993-09-25,5.855,7.004,7.464
1993-09-26,5.894,7.051,7.492
1993-09-27,5.753,7.018,7.451
1993-09-28,5.469,6.971,7.388
1993-09-29,5.504,6.974,7.431
1993-09-30,5.531,6.979,7.463
1993-10-01,5.38,6.931,7.379
1993-10-02,5.448,6.833,7.282
1993-10-03,5.586,6.692,7.174
1993-10-04,5.685,6.641,7.187
1993-10-05,5.847,6.785,7.287
1993-10-06,6.001,6.969,7.386
1993-10-07,6.112,6.9,7.393
1993-10-08,6.232,6.854,7.324
1993-10-09,6.251,6.788,7.253
1993-10-10,6.182,6.721,7.198
1993-10-11,6.225,6.715,7.237
1993-10-12,6.284,6.721,7.262
1993-10-13,6.346,6.778,7.295
1993-10-14,6.414,6.859,7.322
1993-10-15,6.408,6.859,7.3
1993-10-16,6.419,6.87,7.288
1993-10-17,6.417,6.862,7.285
1993-10-18,6.408,6.84,7.278
1993-10-19,6.414,6.861,7.296
1993-10-20,6.41,6.862,7.292
1993-10-21,6.416,6.872,7.267
1993-10-22,6.366,6.865,7.247
1993-10-23,6.359,6.857,7.275
1993-10-24,6.351,6.835,7.264
