"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
1993-01-01,6.109,5.794,6.32,6.734,6.515,5.263,5.659,5.806
1993-01-02,6.012,5.75,6.206,6.744,6.576,5.233,5.699,5.827
1993-01-03,5.753,5.613,6.063,6.684,6.467,5.137,5.776,5.86
1993-01-04,5.582,5.425,6.058,6.656,6.496,5.144,5.692,5.825
1993-01-05,5.507,5.492,5.915,6.6,6.53,5.278,5.657,5.769
1993-01-06,5.332,5.52,5.715,6.381,6.477,5.352,5.678,5.804
1993-01-07,5.255,5.432,5.828,6.22,6.333,5.352,5.681,5.817
1993-01-08,5.283,5.33,5.865,6.16,6.355,5.397,5.627,5.796
1993-01-09,5.178,5.138,5.717,6.083,6.305,5.392,5.641,5.761
1993-01-10,4.968,4.806,5.52,6.175,6.273,5.384,5.629,5.73
1993-01-11,4.85,4.587,5.263,6.142,6.252,5.353,5.619,5.723
1993-01-12,4.819,4.509,4.922,6.033,6.228,5.341,5.596,5.717
1993-01-13,4.728,4.444,4.719,5.923,6.199,5.313,5.568,5.711
1993-01-14,4.458,4.156,4.532,5.541,6.002,5.269,5.545,5.66
1993-01-15,4.025,3.614,4.478,5.386,5.864,5.253,5.459,5.611
1993-01-16,3.884,3.492,4.247,5.178,5.675,5.26,5.438,5.525
1993-01-17,3.877,3.476,3.955,4.758,5.422,5.26,5.417,5.512
1993-01-18,3.769,3.335,3.873,4.583,5.365,5.241,5.392,5.494
1993-01-19,3.679,3.258,3.788,4.434,5.283,5.235,5.372,5.467
1993-01-20,3.349,2.886,3.753,4.41,5.19,5.237,5.365,5.468
1993-01-21,3.053,2.59,3.798,4.387,5.141,5.254,5.381,5.478
1993-01-22,2.869,2.448,3.637,4.351,5.087,5.278,5.386,5.484
1993-01-23,2.908,2.477,3.386,4.266,5.006,5.272,5.426,5.5
1993-01-24,3.04,2.636,3.228,4.187,4.909,5.295,5.43,5.519
1993-01-25,3.24,2.913,3.257,4.067,4.917,5.341,5.477,5.523
1993-01-26,3.342,3.042,3.29,4,4.857,5.336,5.512,5.531
1993-01-27,3.262,2.931,3.432,3.99,4.831,5.458,5.59,5.592
1993-01-28,3.038,2.748,3.492,3.976,4.742,5.525,5.63,5.632
1993-01-29,3.015,2.748,3.474,3.967,4.718,5.59,5.685,5.652
1993-01-30,2.936,2.704,3.477,4.002,4.696,5.687,5.728,5.672
1993-01-31,2.777,2.532,3.352,4.028,4.661,5.741,5.768,5.699
1993-02-01,2.507,2.291,3.643,4.005,4.661,5.762,5.772,5.707
1993-02-02,2.189,1.906,3.579,4.047,4.56,5.671,5.709,5.685
1993-02-03,1.865,1.617,3.012,3.911,4.413,5.545,5.655,5.654
1993-02-04,1.853,1.579,2.348,3.644,4.277,5.483,5.634,5.637
1993-02-05,1.974,1.662,1.98,3.406,4.215,5.475,5.627,5.604
1993-02-06,2.08,1.735,2.018,3.285,4.197,5.436,5.635,5.605
1993-02-07,1.77,1.513,2.275,3.326,4.206,5.448,5.658,5.597
1993-02-08,1.457,1.332,2.553,3.388,4.182,5.428,5.672,5.611
1993-02-09,1.455,1.256,2.285,3.285,4.061,5.383,5.707,5.629
1993-02-10,1.318,1.028,2.06,3.091,4.003,5.543,5.721,5.66
1993-02-11,1.272,0.959,1.98,3.078,3.98,5.528,5.712,5.666
1993-02-12,1.116,0.829,1.954,2.963,3.888,5.53,5.696,5.659
1993-02-13,0.882,0.705,1.887,2.959,3.787,5.506,5.66,5.636
1993-02-14,1.053,0.804,1.501,2.75,3.614,5.181,5.612,5.6
1993-02-15,1.288,0.889,1.372,2.573,3.611,5.259,5.608,5.595
1993-02-16,1.233,0.881,1.477,2.626,3.65,5.287,5.586,5.577
1993-02-17,1.109,0.865,1.622,2.68,3.708,5.24,5.551,5.545
1993-02-18,1.418,1.018,1.558,2.452,3.485,4.908,5.444,5.478
1993-02-19,1.395,1.018,1.488,2.339,3.243,4.75,5.388,5.414
1993-02-20,1.154,0.946,1.348,2.396,3.285,4.679,5.305,5.373
1993-02-21,1.039,0.912,1.255,2.286,3.117,4.468,5.189,5.282
1993-02-22,0.882,0.906,1.275,2.266,3.025,4.365,5.115,5.24
1993-02-23,0.8,0.926,1.248,2.299,2.957,4.105,4.957,5.146
1993-02-24,0.871,0.913,1.242,2.203,2.85,4.08,4.959,5.112
1993-02-25,0.867,1.005,1.273,2.312,2.907,4.014,4.89,5.079
1993-02-26,0.921,1.025,1.28,2.292,2.945,4.009,4.888,5.059
1993-02-27,0.894,1.061,1.308,2.291,2.928,4.053,4.861,5.052
1993-02-28,0.832,1.108,1.319,2.335,2.938,3.987,4.807,5.04
1993-03-01,0.911,1.344,1.18,2.192,2.88,3.945,4.79,5.04
1993-03-02,0.931,1.346,1.155,2.056,2.76,3.612,4.672,4.969
1993-03-03,0.906,1.192,1.191,2,2.758,3.821,4.8,4.991
1993-03-04,0.957,1.296,1.364,2.158,2.873,3.841,4.771,4.952
1993-03-05,1.04,1.446,1.581,2.337,2.984,3.847,4.772,4.927
1993-03-06,1.175,1.703,1.654,2.385,2.899,3.857,4.769,4.948
1993-03-07,1.541,1.99,1.701,2.407,2.878,3.501,4.609,4.98
1993-03-08,1.324,1.605,1.587,2.26,2.85,3.579,4.832,5.011
1993-03-09,1.32,1.642,1.665,2.305,2.907,3.784,4.918,5.077
1993-03-10,1.414,1.794,1.761,2.478,3.168,3.824,4.925,5.125
1993-03-11,1.453,1.793,1.796,2.48,3.152,3.857,4.924,5.11
1993-03-12,1.422,1.78,1.796,2.586,3.185,3.871,4.934,5.147
1993-03-13,1.34,1.712,1.784,2.676,3.329,3.968,5.024,5.154
1993-03-14,1.346,1.636,1.706,2.481,3.33,4.15,5.09,5.268
1993-03-15,1.448,1.506,1.507,2.011,3.113,4.037,5.014,5.209
1993-03-16,1.325,1.39,1.432,2.076,3.238,4.363,5.17,5.252
1993-03-17,1.335,1.382,1.503,2.37,3.388,4.477,5.211,5.321
1993-03-18,1.404,1.42,1.571,2.41,3.47,4.532,5.289,5.342
1993-03-19,1.31,1.306,1.48,2.297,3.457,4.625,5.353,5.356
1993-03-20,1.249,1.278,1.511,2.567,3.642,4.725,5.373,5.398
1993-03-21,1.299,1.301,1.524,2.448,3.614,4.594,5.379,5.386
1993-03-22,1.388,1.416,1.546,2.45,3.621,4.461,5.379,5.456
1993-03-23,1.526,1.516,1.567,2.511,3.726,4.405,5.404,5.518
1993-03-24,1.437,1.513,1.598,2.474,3.516,4.511,5.436,5.582
1993-03-25,1.417,1.577,1.647,2.682,3.596,4.425,5.352,5.573
1993-03-26,1.434,1.582,1.632,2.658,3.536,4.266,5.303,5.452
1993-03-27,1.412,1.557,1.662,2.717,3.474,4.208,5.288,5.384
1993-03-28,1.409,1.568,1.743,2.843,3.732,4.174,5.268,5.337
1993-03-29,1.371,1.521,1.729,2.749,3.731,4.234,5.272,5.313
1993-03-30,1.382,1.547,1.755,2.843,3.719,4.175,5.229,5.302
1993-03-31,1.505,1.648,1.772,2.919,3.723,4.198,5.253,5.334
1993-04-01,1.661,1.74,1.782,2.85,3.662,4.286,5.274,5.387
