"Date","56 m","66 m","78 m","92 m","110 m","131 m","156 m","186 m"
1993-01-01,1.647,2.054,1.409,1.447,2.126,2.088,2.011,2.03
1993-01-02,1.401,2.075,1.471,1.498,2.152,2.103,2.019,2.033
1993-01-03,1.405,2.079,1.491,1.525,2.174,2.12,2.03,2.044
1993-01-04,1.321,1.983,1.497,1.529,2.178,2.127,2.032,2.043
1993-01-05,1.428,1.989,1.51,1.557,2.204,2.142,2.038,2.049
1993-01-06,1.458,1.944,1.543,1.587,2.214,2.171,2.104,2.043
1993-01-07,1.339,1.844,1.503,1.617,2.243,2.18,2.15,2.019
1993-01-08,1.343,1.76,1.467,1.595,2.258,2.155,2.086,2.014
1993-01-09,1.368,1.706,1.447,1.574,2.242,2.139,2.044,2.011
1993-01-10,1.335,1.704,1.426,1.565,2.224,2.123,2.014,2.005
1993-01-11,1.297,1.738,1.431,1.546,2.207,2.107,2,2
1993-01-12,1.346,1.813,1.445,1.535,2.204,2.106,1.991,1.993
1993-01-13,1.384,1.871,1.465,1.534,2.207,2.112,1.983,1.98
1993-01-14,1.581,1.918,1.477,1.49,2.18,2.091,1.97,1.974
1993-01-15,1.57,1.902,1.464,1.48,2.157,2.065,1.961,1.966
1993-01-16,1.63,1.935,1.464,1.487,2.147,2.052,1.952,1.961
1993-01-17,1.633,1.991,1.482,1.513,2.153,2.067,1.945,1.955
1993-01-18,1.71,2.03,1.507,1.519,2.144,2.072,1.937,1.941
1993-01-19,1.783,1.994,1.533,1.53,2.142,2.068,1.925,1.93
1993-01-20,1.851,1.976,1.564,1.51,2.133,2.054,1.919,1.923
1993-01-21,1.783,1.918,1.566,1.486,2.094,2.004,1.925,1.924
1993-01-22,1.75,1.903,1.557,1.482,2.067,1.969,1.911,1.932
1993-01-23,1.759,1.922,1.581,1.548,2.056,1.962,1.912,1.943
1993-01-24,1.773,1.944,1.603,1.574,2.086,1.99,1.926,1.945
1993-01-25,1.794,1.989,1.625,1.609,2.103,2.009,1.936,1.949
1993-01-26,1.789,2.007,1.68,1.651,2.137,2.047,1.966,1.955
1993-01-27,1.766,2.006,1.677,1.675,2.127,2.072,2.012,1.968
1993-01-28,1.744,1.962,1.649,1.656,2.145,2.078,2.002,1.948
1993-01-29,1.722,1.947,1.621,1.635,2.145,2.047,1.985,1.953
1993-01-30,1.68,1.875,1.613,1.648,2.15,2.053,2.052,1.949
1993-01-31,1.697,1.875,1.607,1.666,2.133,2.06,2.066,1.949
1993-02-01,1.658,1.834,1.564,1.648,2.114,2.061,2.057,1.944
1993-02-02,1.624,1.798,1.525,1.627,2.095,2.019,1.953,1.927
1993-02-03,1.609,1.752,1.511,1.604,2.073,1.99,1.911,1.914
1993-02-04,1.629,1.66,1.54,1.635,2.091,1.994,1.919,1.908
1993-02-05,1.639,1.658,1.565,1.668,2.115,2.01,1.933,1.914
1993-02-06,1.627,1.656,1.588,1.7,2.137,2.034,1.957,1.915
1993-02-07,1.595,1.678,1.567,1.691,2.132,2.039,1.975,1.914
1993-02-08,1.539,1.67,1.566,1.678,2.136,2.034,1.954,1.915
1993-02-09,1.566,1.714,1.572,1.674,2.149,2.021,1.933,1.92
1993-02-10,1.589,1.732,1.565,1.693,2.151,2.03,1.968,1.936
