"Date","8 m","10 m","16 m","18 m","22 m","25 m","34 m","40 m","47 m","56 m","66 m","78 m","92 m"
1993-01-01,1.894,2.077,2.268,2.202,2.737,2.37,2.396,2.597,2.764,2.739,2.911,2.778,2.158
1993-01-02,1.545,1.819,1.991,2.027,2.404,2.25,2.494,2.636,2.755,2.882,2.819,2.607,2.096
1993-01-03,0.746,1.231,1.448,1.557,1.764,2.016,2.501,2.542,2.855,2.97,2.763,2.465,2.038
1993-01-04,0.739,1.214,1.36,1.441,1.579,1.971,2.266,2.386,2.94,3.018,2.782,2.417,1.996
1993-01-05,1.406,1.661,1.801,1.703,1.975,2.004,2.451,2.36,2.956,2.795,2.602,2.228,1.911
1993-01-06,1.713,2.079,2.218,2.14,2.243,2.263,2.644,2.45,2.876,2.647,2.399,2.079,1.88
1993-01-07,1.726,1.988,2.176,2.21,2.268,2.325,2.722,2.538,2.845,2.798,2.446,2.141,1.866
1993-01-08,1.71,1.921,2.132,2.203,2.228,2.346,2.689,2.606,2.824,2.862,2.589,2.193,1.869
1993-01-09,1.421,1.662,1.941,2.036,2.067,2.251,2.535,2.556,2.78,2.784,2.687,2.202,1.853
1993-01-10,0.939,1.05,1.485,1.626,1.715,1.908,2.117,2.325,2.627,2.628,2.762,2.292,1.84
1993-01-11,0.713,0.697,1.195,1.283,1.545,1.505,1.819,2.056,2.377,2.411,2.728,2.311,1.81
1993-01-12,0.353,0.634,0.943,1.051,1.342,1.409,1.718,2.015,2.337,2.331,2.645,2.226,1.771
1993-01-13,0.137,0.566,0.776,0.897,1.053,1.347,1.608,2.001,2.31,2.336,2.575,2.163,1.714
1993-01-14,-0.116,0.097,0.501,0.691,0.809,0.937,1.249,1.734,2.099,2.153,2.51,2.144,1.702
1993-01-15,-0.103,-0.392,0.115,0.314,0.448,0.299,0.673,1.106,1.375,1.613,2.316,2.129,1.732
1993-01-16,-0.435,-0.365,-0.019,0.174,0.257,0.288,0.628,1.093,1.279,1.566,2.243,2.055,1.751
1993-01-17,-0.453,-0.079,0.102,0.12,0.23,0.351,0.758,1.162,1.458,1.624,2.186,1.962,1.769
1993-01-18,-0.508,-0.163,0.064,0.065,0.188,0.384,0.785,1.102,1.53,1.583,2.136,1.879,1.814
1993-01-19,-0.52,-0.344,-0.084,-0.115,0.128,0.348,1.176,1.193,1.826,1.602,2.073,1.767,1.94
1993-01-20,-0.904,-0.831,-0.325,-0.347,-0.024,0.079,1.366,1.355,2.017,1.657,2.002,1.707,1.949
1993-01-21,-1.135,-0.968,-0.399,-0.349,-0.173,0.207,1.196,1.438,2.013,1.703,1.998,1.729,1.807
1993-01-22,-1.146,-1.008,-0.576,-0.21,-0.385,0.396,0.966,1.525,1.907,1.607,1.984,1.758,1.696
1993-01-23,-0.918,-0.665,-0.453,-0.114,-0.28,0.356,0.747,1.413,1.725,1.457,1.909,1.706,1.643
1993-01-24,-0.69,-0.455,-0.305,-0.134,-0.177,0.275,0.518,1.19,1.515,1.311,1.83,1.644,1.588
1993-01-25,-0.527,-0.215,-0.069,-0.125,-0.03,0.254,0.448,1.032,1.355,1.263,1.774,1.617,1.568
1993-01-26,-0.375,-0.006,0.182,-0.008,0.267,0.248,0.927,1.17,1.563,1.41,1.674,1.605,1.688
1993-01-27,-0.432,-0.112,0.28,0.301,0.553,0.451,1.413,1.433,1.707,1.547,1.633,1.617,1.844
1993-01-28,-0.573,-0.299,0.128,0.217,0.462,0.419,1.108,1.395,1.611,1.507,1.653,1.656,1.854
1993-01-29,-0.445,-0.236,0.108,0.161,0.423,0.423,0.927,1.314,1.53,1.489,1.679,1.728,1.893
1993-01-30,-0.402,-0.082,0.139,0.06,0.375,0.449,0.863,1.19,1.481,1.47,1.713,1.778,1.917
1993-01-31,-0.731,-0.391,-0.135,-0.235,0.206,0.273,1.057,1.131,1.501,1.529,1.778,1.85,2.043
1993-02-01,-0.991,-0.805,-0.403,-0.339,-0.025,0.035,0.854,1.028,1.448,1.468,1.763,1.775,2.006
1993-02-02,-1.037,-1.204,-0.907,-0.74,-0.588,-0.579,-0.095,0.17,0.825,1.065,1.508,1.584,1.828
