"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
1993-01-01,1.743,1.887,1.348,1.79,2.462,2.705,3.697,5.157,5.021
1993-01-02,1.78,1.968,1.362,1.808,2.502,2.722,3.799,5.28,5.014
1993-01-03,1.743,1.888,1.401,1.825,2.522,2.775,3.834,5.322,5.005
1993-01-04,1.594,1.77,1.423,1.856,2.496,2.796,3.799,5.349,5.011
1993-01-05,1.537,1.688,1.424,1.846,2.458,2.759,3.761,5.318,5.012
1993-01-06,1.57,1.738,1.416,1.89,2.475,2.791,3.758,5.424,5.014
1993-01-07,1.539,1.676,1.407,1.902,2.476,2.789,3.785,5.487,5.01
1993-01-08,1.493,1.652,1.401,1.872,2.426,2.76,3.766,5.466,5.007
1993-01-09,1.496,1.655,1.387,1.88,2.418,2.756,3.785,5.539,5.017
1993-01-10,1.476,1.669,1.367,1.86,2.417,2.736,3.782,5.539,5.029
1993-01-11,1.459,1.7,1.339,1.835,2.385,2.692,3.815,5.532,5.043
1993-01-12,1.439,1.659,1.318,1.789,2.356,2.621,3.788,5.436,5.048
1993-01-13,1.438,1.694,1.299,1.795,2.315,2.593,3.733,5.448,5.061
1993-01-14,1.422,1.633,1.295,1.777,2.29,2.551,3.681,5.391,5.066
1993-01-15,1.423,1.678,1.294,1.779,2.254,2.522,3.63,5.333,5.083
1993-01-16,1.428,1.635,1.284,1.74,2.227,2.48,3.581,5.235,5.087
1993-01-17,1.425,1.634,1.277,1.726,2.211,2.478,3.54,5.241,5.096
1993-01-18,1.406,1.596,1.28,1.727,2.21,2.494,3.514,5.262,5.096
1993-01-19,1.395,1.579,1.283,1.72,2.208,2.497,3.473,5.217,5.088
1993-01-20,1.37,1.565,1.302,1.732,2.207,2.495,3.453,5.157,5.093
1993-01-21,1.338,1.546,1.352,1.749,2.179,2.487,3.422,5.106,5.085
1993-01-22,1.313,1.554,1.355,1.739,2.141,2.461,3.411,5.054,5.072
1993-01-23,1.308,1.515,1.322,1.688,2.13,2.429,3.425,5.042,5.06
1993-01-24,1.283,1.499,1.292,1.653,2.15,2.42,3.483,5.145,5.045
1993-01-25,1.28,1.481,1.286,1.62,2.159,2.402,3.504,5.248,5.025
1993-01-26,1.267,1.447,1.288,1.612,2.122,2.423,3.506,5.342,5.014
1993-01-27,1.245,1.349,1.25,1.592,2.101,2.403,3.49,5.422,5.009
1993-01-28,1.214,1.398,1.251,1.645,2.097,2.413,3.469,5.512,5.006
1993-01-29,1.208,1.431,1.27,1.639,2.106,2.43,3.51,5.498,5.008
1993-01-30,1.196,1.397,1.29,1.691,2.145,2.461,3.589,5.471,5.019
1993-01-31,1.209,1.421,1.304,1.66,2.145,2.444,3.628,5.403,5.028
1993-02-01,1.206,1.391,1.318,1.687,2.15,2.456,3.669,5.421,5.041
1993-02-02,1.187,1.356,1.344,1.704,2.187,2.485,3.723,5.412,5.039
1993-02-03,1.149,1.34,1.358,1.706,2.223,2.501,3.748,5.36,5.041
1993-02-04,1.135,1.324,1.358,1.688,2.214,2.501,3.729,5.307,5.043
1993-02-05,1.133,1.362,1.349,1.672,2.186,2.497,3.716,5.315,5.051
1993-02-06,1.151,1.362,1.34,1.674,2.16,2.487,3.699,5.325,5.058
