"Date","29 m","34 m","40 m","47 m","56 m"
1993-01-01,2.905,2.973,3.021,3.013,2.794
1993-01-02,2.823,2.916,3.015,3.062,2.877
1993-01-03,2.55,2.686,2.822,2.939,2.798
1993-01-04,2.167,2.3,2.52,2.697,2.533
1993-01-05,2.246,2.383,2.507,2.623,2.422
1993-01-06,2.39,2.52,2.557,2.566,2.343
1993-01-07,2.364,2.458,2.521,2.485,2.282
1993-01-08,2.487,2.515,2.496,2.414,2.231
1993-01-09,2.419,2.467,2.431,2.354,2.202
1993-01-10,2.234,2.288,2.277,2.235,2.152
1993-01-11,2.043,2.091,2.131,2.131,2.082
1993-01-12,1.969,2.019,2.037,2.044,2
1993-01-13,1.871,1.902,1.944,1.973,1.93
1993-01-14,1.787,1.811,1.845,1.88,1.865
1993-01-15,1.663,1.673,1.695,1.754,1.77
1993-01-16,1.6,1.626,1.684,1.73,1.722
1993-01-17,1.62,1.632,1.7,1.745,1.732
1993-01-18,1.657,1.644,1.681,1.743,1.733
1993-01-19,1.586,1.603,1.652,1.688,1.675
1993-01-20,1.395,1.41,1.483,1.533,1.514
1993-01-21,1.3,1.296,1.326,1.395,1.375
1993-01-22,1.25,1.264,1.258,1.314,1.292
1993-01-23,1.245,1.257,1.282,1.316,1.255
1993-01-24,1.365,1.371,1.34,1.362,1.302
1993-01-25,1.395,1.411,1.394,1.398,1.33
1993-01-26,1.412,1.432,1.412,1.406,1.32
1993-01-27,1.287,1.294,1.266,1.28,1.198
1993-01-28,1.454,1.407,1.266,1.254,1.187
1993-01-29,1.321,1.313,1.257,1.258,1.176
1993-01-30,1.395,1.36,1.254,1.23,1.15
1993-01-31,1.089,1.095,1.032,1.028,1.042
1993-02-01,1.039,1.01,0.876,0.874,0.92
1993-02-02,1.136,1.147,0.89,0.83,0.844
1993-02-03,0.982,1.025,0.853,0.805,0.826
1993-02-04,0.85,0.955,0.812,0.809,0.838
1993-02-05,0.67,0.758,0.746,0.797,0.814
1993-02-06,0.632,0.741,0.688,0.757,0.759
1993-02-07,0.519,0.6,0.543,0.63,0.641
1993-02-08,0.621,0.67,0.427,0.461,0.507
1993-02-09,0.583,0.654,0.454,0.47,0.451
1993-02-10,0.198,0.294,0.304,0.366,0.333
1993-02-11,0.225,0.257,0.214,0.295,0.289
1993-02-12,0.091,0.156,0.171,0.238,0.212
1993-02-13,0.124,0.148,0.117,0.186,0.177
1993-02-14,0.326,0.367,0.275,0.289,0.24
1993-02-15,0.371,0.452,0.397,0.384,0.3
1993-02-16,0.305,0.372,0.361,0.391,0.322
1993-02-17,0.379,0.462,0.368,0.388,0.328
1993-02-18,0.634,0.693,0.494,0.448,0.355
1993-02-19,0.478,0.574,0.476,0.448,0.344
1993-02-20,0.344,0.416,0.362,0.389,0.307
1993-02-21,0.151,0.213,0.23,0.259,0.2
1993-02-22,0.047,0.103,0.119,0.163,0.143
1993-02-23,0.182,0.261,0.186,0.166,0.103
1993-02-24,0.328,0.412,0.263,0.215,0.104
1993-02-25,0.196,0.282,0.247,0.221,0.103
1993-02-26,0.165,0.256,0.236,0.226,0.109
1993-02-27,0.061,0.137,0.139,0.155,0.059
1993-02-28,-0.086,-0.008,0.057,0.09,0.005
1993-03-01,-0.139,-0.08,0.039,0.08,0.002
1993-03-02,0.105,0.128,0.17,0.157,0.049
1993-03-03,0.218,0.259,0.315,0.315,0.172
1993-03-04,0.199,0.229,0.363,0.39,0.266
1993-03-05,0.266,0.268,0.391,0.416,0.304
1993-03-06,0.144,0.18,0.326,0.411,0.33
1993-03-07,0.171,0.227,0.255,0.408,0.399
1993-03-08,0.312,0.322,0.458,0.515,0.473
1993-03-09,0.457,0.444,0.507,0.506,0.405
1993-03-10,0.391,0.4,0.499,0.525,0.435
1993-03-11,0.358,0.352,0.473,0.541,0.478
1993-03-12,0.376,0.363,0.477,0.514,0.474
1993-03-13,0.429,0.403,0.462,0.459,0.369
1993-03-14,0.403,0.398,0.442,0.453,0.376
1993-03-15,0.423,0.4,0.463,0.439,0.369
1993-03-16,0.433,0.387,0.382,0.339,0.232
1993-03-17,0.39,0.366,0.37,0.321,0.196
1993-03-18,0.48,0.47,0.404,0.333,0.19
1993-03-19,0.514,0.508,0.421,0.336,0.204
1993-03-20,0.506,0.509,0.446,0.345,0.25
1993-03-21,0.55,0.555,0.441,0.321,0.203
1993-03-22,0.613,0.614,0.49,0.368,0.241
1993-03-23,0.697,0.701,0.541,0.412,0.265
1993-03-24,0.645,0.654,0.531,0.436,0.292
1993-03-25,0.701,0.703,0.611,0.478,0.358
1993-03-26,0.848,0.84,0.647,0.485,0.359
1993-03-27,0.862,0.867,0.67,0.49,0.37
1993-03-28,0.957,0.925,0.753,0.53,0.421
1993-03-29,1.033,0.992,0.805,0.552,0.449
1993-03-30,1.133,1.066,0.839,0.574,0.467
