"Date","2866 m","3221 m","3597 m","3992 m"
1993-01-01,2.5,2.145,2.11,2.027
1993-01-02,2.501,2.137,2.106,2.02
1993-01-03,2.507,2.139,2.105,2.016
1993-01-04,2.532,2.152,2.107,2.013
1993-01-05,2.564,2.174,2.106,2.007
1993-01-06,2.59,2.198,2.097,2
1993-01-07,2.58,2.208,2.084,1.993
1993-01-08,2.549,2.197,2.077,1.99
1993-01-09,2.528,2.194,2.082,1.992
1993-01-10,2.519,2.209,2.093,1.996
1993-01-11,2.519,2.232,2.104,2
1993-01-12,2.517,2.247,2.111,2.003
1993-01-13,2.512,2.243,2.117,2.006
1993-01-14,2.504,2.225,2.124,2.009
1993-01-15,2.496,2.209,2.134,2.011
1993-01-16,2.499,2.203,2.147,2.015
1993-01-17,2.52,2.208,2.162,2.02
1993-01-18,2.539,2.212,2.173,2.023
1993-01-19,2.558,2.214,2.182,2.027
1993-01-20,2.575,2.215,2.187,2.033
1993-01-21,2.592,2.218,2.187,2.038
1993-01-22,2.61,2.222,2.182,2.039
1993-01-23,2.634,2.229,2.171,2.036
1993-01-24,2.651,2.233,2.156,2.029
1993-01-25,2.646,2.224,2.138,2.023
1993-01-26,2.631,2.208,2.124,2.021
1993-01-27,2.626,2.201,2.115,2.023
1993-01-28,2.635,2.209,2.109,2.025
1993-01-29,2.645,2.218,2.101,2.024
1993-01-30,2.659,2.231,2.097,2.021
1993-01-31,2.652,2.246,2.095,2.016
1993-02-01,2.629,2.26,2.094,2.01
1993-02-02,2.601,2.268,2.093,2.004
1993-02-03,2.578,2.277,2.092,1.998
1993-02-04,2.565,2.291,2.09,1.992
1993-02-05,2.554,2.305,2.087,1.987
1993-02-06,2.535,2.302,2.082,1.986
1993-02-07,2.519,2.273,2.081,1.989
1993-02-08,2.508,2.248,2.08,1.996
1993-02-09,2.505,2.238,2.079,2.003
1993-02-10,2.505,2.235,2.08,2.009
1993-02-11,2.508,2.234,2.08,2.014
1993-02-12,2.508,2.222,2.079,2.018
1993-02-13,2.516,2.213,2.08,2.019
1993-02-14,2.525,2.214,2.079,2.018
1993-02-15,2.526,2.218,2.078,2.016
1993-02-16,2.525,2.225,2.078,2.016
1993-02-17,2.522,2.237,2.079,2.017
1993-02-18,2.515,2.254,2.084,2.02
1993-02-19,2.507,2.274,2.088,2.022
1993-02-20,2.49,2.279,2.09,2.02
1993-02-21,2.466,2.26,2.09,2.015
1993-02-22,2.456,2.249,2.094,2.013
1993-02-23,2.456,2.259,2.099,2.009
1993-02-24,2.465,2.272,2.103,2.004
1993-02-25,2.48,2.278,2.106,1.996
1993-02-26,2.491,2.266,2.105,1.985
1993-02-27,2.5,2.248,2.104,1.977
1993-02-28,2.516,2.248,2.105,1.972
1993-03-01,2.541,2.265,2.106,1.969
1993-03-02,2.566,2.276,2.102,1.965
1993-03-03,2.577,2.258,2.093,1.966
1993-03-04,2.577,2.241,2.086,1.974
1993-03-05,2.579,2.24,2.082,1.983
1993-03-06,2.59,2.264,2.084,1.989
1993-03-07,2.595,2.294,2.085,1.991
1993-03-08,2.591,2.314,2.085,1.988
1993-03-09,2.59,2.336,2.086,1.985
1993-03-10,2.58,2.349,2.081,1.979
1993-03-11,2.565,2.349,2.071,1.969
1993-03-12,2.57,2.353,2.066,1.959
1993-03-13,2.588,2.372,2.061,1.95
1993-03-14,2.6,2.384,2.054,1.941
1993-03-15,2.592,2.377,2.043,1.934
1993-03-16,2.574,2.359,2.033,1.93
1993-03-17,2.568,2.36,2.027,1.928
1993-03-18,2.573,2.38,2.029,1.93
1993-03-19,2.575,2.402,2.034,1.931
1993-03-20,2.561,2.41,2.038,1.931
1993-03-21,2.537,2.393,2.041,1.932
1993-03-22,2.518,2.37,2.046,1.938
1993-03-23,2.515,2.357,2.054,1.946
1993-03-24,2.518,2.352,2.062,1.956
1993-03-25,2.51,2.354,2.067,1.961
1993-03-26,2.488,2.349,2.072,1.967
1993-03-27,2.455,2.338,2.076,1.977
1993-03-28,2.419,2.315,2.075,1.991
1993-03-29,2.395,2.284,2.075,2.007
1993-03-30,2.382,2.256,2.077,2.018
1993-03-31,2.378,2.233,2.08,2.023
1993-04-01,2.383,2.219,2.087,2.029
1993-04-02,2.392,2.219,2.096,2.035
1993-04-03,2.4,2.23,2.103,2.04
1993-04-04,2.405,2.252,2.108,2.042
1993-04-05,2.408,2.273,2.113,2.042
1993-04-06,2.416,2.284,2.119,2.043
1993-04-07,2.424,2.306,2.129,2.046
1993-04-08,2.432,2.334,2.139,2.047
1993-04-09,2.443,2.354,2.147,2.045
1993-04-10,2.457,2.36,2.148,2.041
1993-04-11,2.474,2.352,2.147,2.037
1993-04-12,2.488,2.338,2.147,2.035
1993-04-13,2.493,2.323,2.15,2.036
1993-04-14,2.494,2.322,2.156,2.038
1993-04-15,2.494,2.335,2.155,2.035
1993-04-16,2.495,2.339,2.148,2.028
1993-04-17,2.498,2.321,2.141,2.025
1993-04-18,2.504,2.306,2.14,2.028
1993-04-19,2.508,2.306,2.142,2.033
1993-04-20,2.509,2.318,2.146,2.04
1993-04-21,2.509,2.337,2.147,2.044
1993-04-22,2.508,2.35,2.147,2.048
1993-04-23,2.509,2.354,2.148,2.052
1993-04-24,2.514,2.356,2.15,2.055
1993-04-25,2.522,2.359,2.151,2.057
1993-04-26,2.528,2.368,2.153,2.057
1993-04-27,2.526,2.383,2.154,2.053
1993-04-28,2.522,2.401,2.155,2.047
1993-04-29,2.519,2.413,2.156,2.041
1993-04-30,2.527,2.411,2.159,2.035
1993-05-01,2.543,2.397,2.164,2.03
1993-05-02,2.562,2.39,2.171,2.027
1993-05-03,2.578,2.394,2.177,2.025
1993-05-04,2.587,2.397,2.181,2.022
1993-05-05,2.592,2.39,2.181,2.018
1993-05-06,2.592,2.373,2.178,2.014
1993-05-07,2.59,2.357,2.172,2.013
1993-05-08,2.588,2.34,2.17,2.016
1993-05-09,2.585,2.333,2.171,2.022
1993-05-10,2.586,2.349,2.175,2.028
1993-05-11,2.586,2.375,2.177,2.031
1993-05-12,2.591,2.386,2.179,2.032
1993-05-13,2.595,2.382,2.183,2.037
1993-05-14,2.601,2.379,2.193,2.045
1993-05-15,2.607,2.381,2.205,2.053
1993-05-16,2.612,2.379,2.219,2.061
1993-05-17,2.615,2.371,2.231,2.068
1993-05-18,2.619,2.362,2.243,2.071
1993-05-19,2.624,2.357,2.252,2.065
1993-05-20,2.632,2.352,2.249,2.045
1993-05-21,2.64,2.341,2.234,2.023
1993-05-22,2.645,2.325,2.218,2.009
1993-05-23,2.648,2.313,2.21,2.004
1993-05-24,2.653,2.319,2.21,2.005
1993-05-25,2.662,2.334,2.211,2.006
1993-05-26,2.671,2.347,2.207,2.002
1993-05-27,2.671,2.346,2.198,1.994
1993-05-28,2.66,2.328,2.19,1.987
1993-05-29,2.633,2.304,2.189,1.987
1993-05-30,2.591,2.278,2.191,1.995
1993-05-31,2.545,2.248,2.187,2.012
1993-06-01,2.507,2.217,2.173,2.037
1993-06-02,2.483,2.193,2.167,2.062
1993-06-03,2.481,2.187,2.173,2.078
1993-06-04,2.496,2.195,2.184,2.083
1993-06-05,2.517,2.21,2.192,2.081
1993-06-06,2.533,2.229,2.198,2.08
1993-06-07,2.542,2.255,2.205,2.081
1993-06-08,2.548,2.285,2.209,2.079
1993-06-09,2.554,2.311,2.21,2.076
1993-06-10,2.565,2.326,2.211,2.073
1993-06-11,2.581,2.326,2.216,2.074
