"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m","186 m","222 m","266 m","318 m"
1993-01-01,1.552,1.652,1.596,1.829,1.998,1.353,1.017,0.952,1.49,2.345,3.563,4.558,5.402,5.289
1993-01-02,1.555,1.647,1.6,1.836,2,1.377,1.032,0.989,1.479,2.361,3.598,4.624,5.398,5.269
1993-01-03,1.221,1.455,1.553,1.801,1.992,1.431,1.103,0.977,1.421,2.236,3.514,4.617,5.381,5.257
1993-01-04,1.149,1.427,1.496,1.769,1.932,1.499,1.114,0.92,1.317,2.076,3.352,4.552,5.351,5.252
1993-01-05,1.266,1.518,1.524,1.816,1.95,1.528,1.074,0.866,1.282,2.111,3.383,4.575,5.334,5.249
1993-01-06,1.368,1.58,1.534,1.93,1.977,1.464,0.992,0.852,1.291,2.247,3.649,4.716,5.339,5.236
1993-01-07,1.35,1.584,1.619,2.004,1.959,1.361,0.944,0.862,1.291,2.236,3.702,4.714,5.338,5.217
1993-01-08,1.297,1.621,1.729,2.022,1.949,1.297,1.011,0.863,1.256,2.117,3.572,4.667,5.336,5.204
1993-01-09,1.263,1.704,1.856,2.087,1.936,1.361,1.163,0.847,1.197,2.062,3.611,4.693,5.322,5.199
1993-01-10,1.085,1.754,1.994,2.186,1.998,1.648,1.411,0.87,1.123,1.989,3.611,4.7,5.311,5.199
1993-01-11,0.947,1.661,2.131,2.249,2.107,1.947,1.564,0.938,1.111,2.002,3.586,4.682,5.295,5.206
1993-01-12,0.507,1.272,2.104,2.186,2.166,2.13,1.615,1.041,1.145,2.077,3.595,4.673,5.296,5.208
1993-01-13,0.237,0.735,1.987,2.068,2.184,2.185,1.629,1.077,1.154,2.123,3.661,4.661,5.293,5.216
1993-01-14,0.01,0.032,1.701,1.881,2.182,2.16,1.624,1.094,1.184,2.201,3.83,4.75,5.311,5.219
1993-01-15,-0.124,-0.094,1.514,1.796,2.166,2.132,1.667,1.103,1.207,2.244,3.861,4.884,5.329,5.226
1993-01-16,-0.153,-0.079,1.27,1.732,2.148,2.094,1.7,1.147,1.254,2.341,3.891,5.031,5.336,5.231
1993-01-17,-0.141,0.018,1.141,1.713,2.154,2.052,1.716,1.203,1.273,2.348,3.866,5.11,5.335,5.238
1993-01-18,-0.126,0.13,1.136,1.784,2.191,2.021,1.726,1.269,1.29,2.334,3.876,5.185,5.333,5.246
1993-01-19,-0.199,0.074,1.034,1.709,2.173,2.012,1.766,1.328,1.335,2.352,3.904,5.21,5.327,5.25
1993-01-20,-0.356,0.287,0.592,1.683,2.092,1.911,1.806,1.415,1.403,2.3,3.873,5.189,5.322,5.256
1993-01-21,-0.543,0.04,0.898,1.649,2.079,1.841,1.835,1.49,1.541,2.343,3.961,5.185,5.308,5.259
1993-01-22,-0.685,-0.418,1.022,1.497,2.008,1.971,1.881,1.511,1.64,2.537,4.098,5.167,5.29,5.263
1993-01-23,-0.802,-0.726,0.706,1.271,1.904,1.923,1.871,1.547,1.755,2.794,4.441,5.143,5.292,5.253
1993-01-24,-0.801,-0.622,0.713,1.198,1.804,1.86,1.823,1.574,1.864,2.986,4.68,5.16,5.294,5.235
1993-01-25,-0.8,-0.576,0.573,1.125,1.678,1.826,1.778,1.572,1.887,3.057,4.745,5.173,5.294,5.22
1993-01-26,-0.796,-0.541,0.623,1.041,1.576,1.793,1.747,1.55,1.877,3.008,4.706,5.188,5.295,5.211
1993-01-27,-1.002,-0.749,0.043,0.739,1.201,1.63,1.651,1.528,1.897,2.826,4.626,5.172,5.295,5.206
1993-01-28,-1.04,-0.807,-0.054,0.631,1.023,1.483,1.589,1.558,2.009,2.899,4.636,5.172,5.288,5.216
1993-01-29,-1.055,-0.879,-0.167,0.434,1.014,1.436,1.568,1.616,2.094,3.047,4.63,5.129,5.282,5.226
1993-01-30,-1.065,-0.895,-0.222,0.287,1.05,1.423,1.568,1.649,2.116,3.149,4.645,5.115,5.279,5.227
1993-01-31,-1.13,-0.883,-0.414,0.147,0.81,1.35,1.506,1.633,2.15,3.166,4.671,5.111,5.281,5.218
1993-02-01,-1.188,-0.874,-0.524,0.223,0.728,1.16,1.431,1.618,2.11,3.118,4.605,5.122,5.276,5.217
1993-02-02,-1.23,-0.902,-0.527,0.223,0.744,1.122,1.466,1.659,2.171,3.239,4.601,5.125,5.265,5.216
1993-02-03,-1.261,-0.978,-0.599,0.156,0.782,1.074,1.491,1.704,2.272,3.343,4.615,5.12,5.26,5.206
1993-02-04,-1.269,-0.978,-0.634,0.15,0.823,0.999,1.503,1.701,2.292,3.348,4.635,5.107,5.261,5.19
1993-02-05,-1.275,-0.913,-0.6,0.205,0.724,0.945,1.505,1.671,2.267,3.258,4.562,5.072,5.261,5.182
1993-02-06,-1.267,-0.819,-0.512,0.275,0.597,0.879,1.471,1.642,2.235,3.117,4.467,5.039,5.257,5.182
1993-02-07,-1.26,-0.686,-0.377,0.297,0.529,0.875,1.376,1.624,2.191,3.037,4.361,5.006,5.25,5.184
