"Date","56 m","66 m","78 m"
1993-01-01,5.304,5.073,5.976
1993-01-02,5.395,5.156,6.329
1993-01-03,5.51,5.343,6.922
1993-01-04,5.543,5.318,6.907
1993-01-05,5.521,5.464,6.714
1993-01-06,5.6,5.687,6.302
1993-01-07,5.773,5.589,6.381
1993-01-08,5.645,5.609,6.649
1993-01-09,5.666,5.688,6.733
1993-01-10,5.77,5.669,6.703
1993-01-11,5.751,5.577,6.622
1993-01-12,5.682,5.525,6.54
1993-01-13,5.644,5.437,6.291
1993-01-14,5.638,5.317,6.225
1993-01-15,5.579,5.276,6.236
1993-01-16,5.452,5.168,5.996
1993-01-17,5.199,4.995,5.603
1993-01-18,4.877,4.839,5.392
1993-01-19,4.608,4.706,5.238
1993-01-20,4.515,4.501,5.054
1993-01-21,4.48,4.425,5.001
1993-01-22,4.432,4.395,4.593
1993-01-23,4.406,4.293,3.956
1993-01-24,4.392,4.171,3.79
1993-01-25,4.362,4.097,3.839
1993-01-26,4.234,4.202,4.097
1993-01-27,4.112,4.283,4.203
1993-01-28,4.204,4.216,4.222
1993-01-29,4.36,4.051,4.185
1993-01-30,4.34,3.877,4.18
1993-01-31,4.015,3.776,4.276
1993-02-01,3.974,3.539,4.127
1993-02-02,3.858,3.268,4.216
1993-02-03,3.462,3.097,4.339
1993-02-04,3.162,3.074,4.312
1993-02-05,3.235,3.196,4.403
1993-02-06,3.366,3.339,4.496
1993-02-07,3.506,3.488,4.584
1993-02-08,3.625,3.532,4.645
1993-02-09,3.744,3.566,4.643
1993-02-10,3.834,3.485,4.449
1993-02-11,3.517,3.243,4.247
1993-02-12,3.09,2.981,4.29
1993-02-13,2.644,2.543,4.303
1993-02-14,2.443,2.355,4.207
1993-02-15,2.765,2.505,3.933
1993-02-16,2.761,2.613,3.758
1993-02-17,2.673,2.711,3.891
1993-02-18,2.614,2.769,3.864
1993-02-19,2.635,2.681,3.35
1993-02-20,2.62,2.592,3.424
1993-02-21,2.545,2.549,3.559
1993-02-22,2.485,2.428,3.35
1993-02-23,2.399,2.348,3.211
1993-02-24,2.307,2.308,3.225
1993-02-25,2.237,2.238,3.15
1993-02-26,2.226,2.238,3.277
1993-02-27,2.241,2.286,3.443
1993-02-28,2.29,2.322,3.522
1993-03-01,2.307,2.299,3.342
1993-03-02,2.202,2.279,2.982
1993-03-03,2.093,2.212,2.849
1993-03-04,2.038,2.202,3.069
1993-03-05,2.071,2.242,3.125
1993-03-06,2.149,2.247,3.128
1993-03-07,2.167,2.295,3.209
1993-03-08,2.003,2.332,3.026
1993-03-09,1.578,2.057,2.724
1993-03-10,1.548,1.948,2.701
1993-03-11,1.754,1.97,2.749
1993-03-12,1.921,1.978,2.615
1993-03-13,1.984,1.896,2.255
1993-03-14,1.915,1.785,2.199
1993-03-15,1.557,1.602,1.761
1993-03-16,1.234,1.295,1.27
1993-03-17,0.932,1.136,1.36
1993-03-18,0.834,1.084,1.537
1993-03-19,0.872,1.128,1.786
1993-03-20,0.961,1.121,1.572
1993-03-21,1.029,1.086,1.181
1993-03-22,1.06,1.046,0.986
1993-03-23,1.06,1.056,1.044
1993-03-24,1.047,1.081,1.119
1993-03-25,1.046,1.061,1.271
1993-03-26,1.061,1.04,1.456
1993-03-27,1.07,1.052,1.435
1993-03-28,1.066,1.105,1.495
1993-03-29,1.067,1.148,1.698
1993-03-30,1.103,1.17,1.849
1993-03-31,1.171,1.216,1.935
1993-04-01,1.226,1.245,1.93
1993-04-02,1.234,1.261,1.866
1993-04-03,1.239,1.314,1.834
1993-04-04,1.273,1.363,1.795
1993-04-05,1.421,1.394,1.807
1993-04-06,1.597,1.423,1.825
1993-04-07,1.702,1.456,1.803
1993-04-08,1.783,1.509,1.81
1993-04-09,1.838,1.564,1.832
1993-04-10,1.855,1.603,1.856
1993-04-11,1.863,1.621,1.877
1993-04-12,1.872,1.653,1.895
1993-04-13,1.882,1.705,1.911
1993-04-14,1.893,1.743,1.921
1993-04-15,1.9,1.753,1.892
1993-04-16,1.899,1.739,1.851
1993-04-17,1.885,1.723,1.828
1993-04-18,1.874,1.739,1.833
1993-04-19,1.915,1.78,1.832
1993-04-20,1.952,1.803,1.806
1993-04-21,1.946,1.802,1.767
1993-04-22,1.915,1.767,1.763
