"Date","6 m","8 m","10 m","11 m","16 m","22 m"
1993-01-01,0.561,0.155,0.666,0.867,1.934,2.82
1993-01-02,0.207,-0.103,0.418,0.693,1.733,2.87
1993-01-03,-0.368,-0.82,-0.083,0.077,0.9,1.779
1993-01-04,-0.395,-0.966,-0.118,-0.061,0.708,1.38
1993-01-05,-0.256,-0.592,0.043,-0.02,0.322,1.042
1993-01-06,-0.029,-0.285,0.107,0.038,0.266,1.218
1993-01-07,0.15,-0.137,0.157,0.127,0.604,1.773
1993-01-08,0.221,-0.101,0.17,0.193,0.785,1.995
1993-01-09,0.021,-0.272,-0.013,0.179,1.017,2.28
1993-01-10,-0.503,-0.745,-0.381,0.056,1.367,2.506
1993-01-11,-0.721,-0.956,-0.454,0.05,1.444,2.455
1993-01-12,-0.813,-1.054,-0.583,-0.087,1.269,2.34
1993-01-13,-0.887,-1.115,-0.641,-0.161,1.173,2.309
1993-01-14,-0.992,-1.188,-0.841,-0.222,1.331,2.365
1993-01-15,-1.052,-1.192,-0.913,-0.191,1.641,2.656
1993-01-16,-1.08,-1.255,-0.95,-0.242,1.477,2.52
1993-01-17,-1.089,-1.286,-0.967,-0.307,1.291,2.38
1993-01-18,-1.207,-1.351,-1.033,-0.497,0.99,2.143
1993-01-19,-1.308,-1.425,-1.194,-1.05,-0.304,0.672
1993-01-20,-1.262,-1.462,-1.304,-1.255,-0.934,-0.479
1993-01-21,-1.253,-1.438,-1.331,-1.291,-1.028,-0.594
1993-01-22,-1.188,-1.414,-1.336,-1.275,-1.068,-0.543
1993-01-23,-1.147,-1.394,-1.359,-1.281,-1.067,-0.461
1993-01-24,-1.144,-1.382,-1.353,-1.279,-1.025,-0.284
1993-01-25,-1.146,-1.363,-1.362,-1.273,-0.994,-0.181
1993-01-26,-1.166,-1.4,-1.449,-1.367,-1.437,-0.909
1993-01-27,-1.168,-1.403,-1.451,-1.413,-1.342,-0.551
1993-01-28,-1.17,-1.384,-1.445,-1.353,-0.831,0.174
1993-01-29,-1.18,-1.381,-1.435,-1.343,-0.75,0.639
1993-01-30,-1.175,-1.367,-1.43,-1.375,-1.118,0.028
1993-01-31,-1.185,-1.373,-1.441,-1.412,-1.438,-0.797
1993-02-01,-1.23,-1.403,-1.464,-1.397,-1.036,-0.146
1993-02-02,-1.373,-1.449,-1.446,-1.118,-0.094,0.368
1993-02-03,-1.369,-1.438,-1.328,-0.891,0.352,0.689
1993-02-04,-1.367,-1.425,-1.245,-0.808,0.457,0.872
1993-02-05,-1.351,-1.455,-1.251,-0.827,0.389,0.901
1993-02-06,-1.3,-1.423,-1.319,-0.931,0.116,0.501
1993-02-07,-1.288,-1.397,-1.315,-1.025,-0.242,0.152
1993-02-08,-1.272,-1.403,-1.293,-1.043,-0.384,-0.1
1993-02-09,-1.25,-1.434,-1.39,-1.105,-0.582,-0.429
1993-02-10,-1.248,-1.408,-1.378,-1.147,-0.699,-0.417
1993-02-11,-1.235,-1.384,-1.363,-1.191,-0.857,-0.625
1993-02-12,-1.236,-1.381,-1.347,-1.209,-0.866,-0.527
1993-02-13,-1.259,-1.407,-1.367,-1.24,-0.872,-0.442
1993-02-14,-1.266,-1.427,-1.413,-1.269,-0.886,-0.342
1993-02-15,-1.263,-1.422,-1.417,-1.262,-0.771,-0.209
1993-02-16,-1.268,-1.417,-1.373,-1.231,-0.642,-0.121
1993-02-17,-1.286,-1.425,-1.376,-1.201,-0.582,-0.146
1993-02-18,-1.293,-1.439,-1.433,-1.244,-0.65,-0.228
1993-02-19,-1.31,-1.449,-1.412,-1.224,-0.594,-0.177
1993-02-20,-1.341,-1.442,-1.388,-1.156,-0.468,-0.036
1993-02-21,-1.311,-1.427,-1.423,-1.178,-0.492,-0.025
1993-02-22,-1.328,-1.459,-1.422,-1.202,-0.562,-0.111
1993-02-23,-1.323,-1.469,-1.398,-1.211,-0.583,-0.198
1993-02-24,-1.241,-1.396,-1.337,-1.193,-0.557,-0.149
1993-02-25,-1.262,-1.335,-1.295,-1.181,-0.579,-0.107
1993-02-26,-1.245,-1.328,-1.27,-1.162,-0.598,-0.106
1993-02-27,-1.222,-1.312,-1.262,-1.14,-0.616,-0.116
1993-02-28,-1.264,-1.351,-1.248,-1.117,-0.613,-0.171
1993-03-01,-1.293,-1.374,-1.236,-1.042,-0.475,-0.166
1993-03-02,-1.304,-1.371,-1.171,-0.98,-0.337,0.057
1993-03-03,-1.288,-1.364,-1.206,-0.972,-0.313,0.13
1993-03-04,-1.249,-1.338,-1.206,-0.976,-0.348,0.118
1993-03-05,-1.251,-1.318,-1.178,-0.96,-0.387,0.046
1993-03-06,-1.259,-1.328,-1.242,-0.877,-0.305,-0.141
1993-03-07,-1.232,-1.321,-1.211,-0.884,-0.271,-0.058
1993-03-08,-1.228,-1.319,-1.257,-1.013,-0.291,-0.094
1993-03-09,-1.137,-1.263,-1.221,-1.005,-0.349,-0.182
1993-03-10,-1.163,-1.241,-1.142,-0.964,-0.426,-0.184
1993-03-11,-1.132,-1.189,-1.093,-0.925,-0.434,-0.165
1993-03-12,-1.224,-1.276,-1.095,-0.951,-0.482,-0.169
1993-03-13,-1.243,-1.297,-1.158,-0.976,-0.516,-0.212
1993-03-14,-1.259,-1.326,-1.255,-1.034,-0.63,-0.323
1993-03-15,-1.328,-1.351,-1.341,-1.163,-0.85,-0.569
1993-03-16,-1.324,-1.346,-1.347,-1.208,-0.935,-0.62
1993-03-17,-1.31,-1.341,-1.344,-1.21,-0.901,-0.638
1993-03-18,-1.29,-1.337,-1.334,-1.189,-0.871,-0.622
1993-03-19,-1.299,-1.345,-1.326,-1.161,-0.749,-0.389
1993-03-20,-1.291,-1.345,-1.291,-1.1,-0.608,-0.253
1993-03-21,-1.284,-1.347,-1.254,-1.045,-0.521,-0.187
1993-03-22,-1.254,-1.324,-1.211,-1.007,-0.482,-0.157
1993-03-23,-1.167,-1.255,-1.135,-0.966,-0.453,-0.136
1993-03-24,-1.104,-1.202,-1.081,-0.929,-0.43,-0.127
1993-03-25,-1.075,-1.171,-1.053,-0.907,-0.426,-0.133
1993-03-26,-1.034,-1.129,-1.012,-0.879,-0.423,-0.135
1993-03-27,-0.959,-1.058,-0.944,-0.835,-0.405,-0.125
1993-03-28,-0.865,-0.969,-0.869,-0.785,-0.373,-0.1
1993-03-29,-0.802,-0.934,-0.809,-0.747,-0.351,-0.083
1993-03-30,-0.922,-1.031,-0.798,-0.731,-0.353,-0.091
1993-03-31,-0.816,-0.959,-0.659,-0.604,-0.251,-0.026
1993-04-01,-0.611,-0.723,-0.42,-0.411,-0.05,0.114
1993-04-02,-0.486,-0.586,-0.371,-0.357,0.034,0.164
1993-04-03,-0.349,-0.478,-0.342,-0.321,0.083,0.193
1993-04-04,-0.056,-0.198,-0.142,-0.153,0.191,0.297
1993-04-05,0.201,0.15,0.168,0.093,0.361,0.418
1993-04-06,0.604,0.533,0.519,0.345,0.57,0.541
1993-04-07,1.072,0.96,0.87,0.574,0.775,0.662
1993-04-08,1.443,1.269,1.15,0.771,0.968,0.803
1993-04-09,1.635,1.414,1.319,0.905,1.122,0.891
1993-04-10,1.798,1.539,1.398,0.994,1.268,1.01
1993-04-11,1.637,1.891,1.5,0.942,1.371,1.1
1993-04-12,1.198,2.111,1.64,0.983,1.422,1.13
1993-04-13,1.483,2.213,1.845,1.207,1.424,1.088
1993-04-14,1.902,2.063,2.052,1.589,1.362,1.053
1993-04-15,2.097,2.017,2.168,1.871,1.39,1.116
1993-04-16,2.377,2.311,2.367,2.052,1.563,1.283
1993-04-17,2.619,2.616,2.542,2.029,1.77,1.436
1993-04-18,2.438,3.028,2.806,2.09,2.027,1.714
1993-04-19,2.442,3.262,3.022,2.423,2.248,1.818
1993-04-20,3.076,3.672,3.314,2.825,2.532,1.951
1993-04-21,3.632,4.092,3.655,3.142,2.849,2.169
1993-04-22,3.825,4.341,3.874,3.248,3.056,2.312
1993-04-23,3.79,4.453,3.945,3.245,3.057,2.403
1993-04-24,3.843,4.565,4.127,3.607,3.314,2.617
1993-04-25,4.341,4.774,4.353,3.951,3.506,2.723
1993-04-26,4.546,4.953,4.48,4.13,3.664,2.936
1993-04-27,4.712,5.069,4.595,4.344,3.87,3.112
1993-04-28,4.471,4.836,4.469,4.294,3.688,3.27
1993-04-29,4.414,4.738,4.473,4.203,3.705,3.373
1993-04-30,4.48,4.775,4.447,4.152,3.708,3.305
1993-05-01,4.661,4.829,4.446,4.122,3.695,3.221
1993-05-02,4.973,5.066,4.588,4.232,3.739,3.177
1993-05-03,5.375,5.444,4.759,4.397,3.794,3.251
1993-05-04,5.522,5.617,5.055,4.528,3.972,3.43
1993-05-05,5.782,5.958,5.345,4.749,4.177,3.559
1993-05-06,6.133,6.288,5.563,4.955,4.393,3.639
1993-05-07,6.402,6.53,5.871,5.266,4.632,3.792
1993-05-08,6.673,6.772,6.164,5.438,4.702,3.93
1993-05-09,6.879,7.086,6.443,5.595,4.84,4.063
1993-05-10,6.867,7.146,6.514,5.755,4.792,4.046
1993-05-11,6.832,7.158,6.566,5.815,4.786,4.093
1993-05-12,6.855,7.04,6.574,5.748,4.866,4.115
1993-05-13,6.704,6.774,6.371,5.47,4.742,4.042
1993-05-14,6.593,6.765,6.27,5.41,4.619,3.804
1993-05-15,6.811,6.85,6.254,5.484,4.541,3.665
1993-05-16,7.11,7.076,6.341,5.639,4.567,3.622
1993-05-17,7.107,7.326,6.574,5.803,4.768,3.71
1993-05-18,7.252,7.444,6.834,6.022,4.965,3.835
1993-05-19,7.419,7.616,7.025,6.219,5.135,3.93
1993-05-20,7.34,7.572,6.987,6.144,5.006,3.834
1993-05-21,7.36,7.593,6.983,6.099,4.877,3.743
1993-05-22,7.474,7.713,7.033,6.098,4.825,3.692
1993-05-23,7.714,7.801,7.086,6.127,4.769,3.67
1993-05-24,7.976,7.923,6.911,6.115,4.642,3.63
1993-05-25,8.165,8.301,7.123,6.276,4.729,3.691
1993-05-26,8.155,8.357,7.374,6.38,4.916,3.752
1993-05-27,8.242,8.368,7.562,6.532,5.081,3.851
1993-05-28,8.354,8.448,7.798,6.771,5.299,4.013
