"Date","13 m","25 m","29 m","40 m"
1993-01-01,3.953,4.376,4.124,5.095
1993-01-02,3.516,4.236,4.013,4.866
1993-01-03,2.979,3.881,3.369,4.394
1993-01-04,3.07,3.659,3.01,4.119
1993-01-05,3.485,3.874,3.224,4.195
1993-01-06,3.813,4.226,3.61,4.352
1993-01-07,3.808,4.245,3.845,4.423
1993-01-08,3.787,4.194,3.926,4.406
1993-01-09,3.549,4.058,3.831,4.313
1993-01-10,3.184,3.711,3.178,3.908
1993-01-11,2.924,3.273,2.647,3.482
1993-01-12,2.676,3.01,2.562,3.289
1993-01-13,2.485,2.715,2.508,3.021
1993-01-14,2.307,2.577,2.158,2.474
1993-01-15,1.887,2.101,1.6,1.954
1993-01-16,1.659,1.915,1.577,1.946
1993-01-17,1.611,1.877,1.636,2.072
1993-01-18,1.506,1.809,1.573,2.071
1993-01-19,1.476,1.66,1.266,2.142
1993-01-20,1.179,1.407,0.973,1.996
1993-01-21,0.927,1.264,0.889,1.78
1993-01-22,0.828,1.32,0.868,1.664
1993-01-23,1.047,1.334,0.983,1.8
1993-01-24,1.345,1.402,1.151,1.969
1993-01-25,1.642,1.536,1.224,1.96
1993-01-26,1.631,1.74,1.297,2.111
1993-01-27,1.433,1.733,1.369,2.179
1993-01-28,1.314,1.642,1.382,2.07
1993-01-29,1.28,1.609,1.403,2.04
1993-01-30,1.387,1.556,1.264,2.112
1993-01-31,1.212,1.448,0.925,2.153
1993-02-01,0.761,1.236,0.725,1.855
1993-02-02,0.396,0.797,0.202,1.082
1993-02-03,-0.009,0.388,0.099,0.638
1993-02-04,0.03,0.365,0.145,0.638
1993-02-05,-0.088,0.259,0.073,0.538
1993-02-06,-0.159,0.114,-0.033,0.522
1993-02-07,-0.426,-0.058,-0.307,0.208
1993-02-08,-0.393,-0.065,-0.521,-0.065
1993-02-09,-0.581,-0.256,-0.609,0.094
1993-02-10,-0.725,-0.379,-0.635,-0.03
1993-02-11,-0.549,-0.367,-0.672,0.048
1993-02-12,-0.611,-0.375,-0.675,-0.033
1993-02-13,-0.533,-0.34,-0.691,-0.356
1993-02-14,-0.315,-0.254,-0.581,-0.202
1993-02-15,-0.301,-0.186,-0.406,0.162
1993-02-16,-0.275,-0.176,-0.319,0.183
1993-02-17,-0.195,-0.163,-0.283,0.076
1993-02-18,-0.091,-0.069,-0.195,0.337
1993-02-19,-0.142,0.018,-0.201,0.427
1993-02-20,-0.437,-0.138,-0.437,0.069
1993-02-21,-0.579,-0.218,-0.45,0.06
1993-02-22,-0.644,-0.266,-0.505,-0.012
1993-02-23,-0.554,-0.288,-0.549,-0.129
1993-02-24,-0.406,-0.266,-0.513,-0.129
1993-02-25,-0.364,-0.217,-0.415,0.043
1993-02-26,-0.406,-0.18,-0.368,0.078
1993-02-27,-0.475,-0.163,-0.366,0.035
1993-02-28,-0.599,-0.294,-0.572,-0.201
1993-03-01,-0.814,-0.693,-0.82,-0.628
1993-03-02,-0.788,-0.672,-0.761,-0.601
1993-03-03,-0.623,-0.573,-0.663,-0.56
1993-03-04,-0.438,-0.474,-0.545,-0.475
1993-03-05,-0.417,-0.468,-0.526,-0.504
1993-03-06,-0.605,-0.652,-0.713,-0.738
1993-03-07,-0.634,-0.766,-0.791,-0.874
1993-03-08,-0.531,-0.705,-0.735,-0.84
1993-03-09,-0.379,-0.628,-0.646,-0.79
1993-03-10,-0.302,-0.589,-0.584,-0.76
1993-03-11,-0.313,-0.579,-0.531,-0.716
1993-03-12,-0.369,-0.563,-0.522,-0.685
1993-03-13,-0.392,-0.541,-0.518,-0.653
1993-03-14,-0.341,-0.498,-0.445,-0.604
1993-03-15,-0.255,-0.332,-0.303,-0.307
1993-03-16,-0.256,-0.13,-0.267,-0.022
1993-03-17,0.162,0.084,-0.14,0.133
1993-03-18,0.357,0.371,0.165,0.276
1993-03-19,0.076,0.317,0.004,0.172
1993-03-20,0.023,0.184,-0.149,0.092
1993-03-21,0.059,0.076,-0.143,0.086
1993-03-22,0.107,-0.004,-0.127,0.054
1993-03-23,0.266,-0.019,-0.083,0.007
1993-03-24,0.365,-0.024,-0.05,-0.042
1993-03-25,0.391,-0.048,-0.037,-0.059
1993-03-26,0.443,-0.059,-0.012,-0.047
1993-03-27,0.545,-0.038,0.026,-0.035
1993-03-28,0.66,-0.015,0.068,-0.02
1993-03-29,0.833,0.019,0.118,-0.027
1993-03-30,1.216,0.132,0.278,-0.038
1993-03-31,1.364,0.438,0.763,0.163
1993-04-01,1.37,0.706,1.032,0.327
1993-04-02,1.232,0.72,0.929,0.256
1993-04-03,1.129,0.585,0.795,0.145
1993-04-04,1.056,0.475,0.807,0.214
1993-04-05,1.037,0.548,0.965,0.366
1993-04-06,1.162,0.646,1.036,0.418
1993-04-07,1.302,0.681,1.048,0.408
1993-04-08,1.417,0.666,0.994,0.338
1993-04-09,1.558,0.671,0.955,0.289
1993-04-10,1.85,0.741,1.006,0.291
1993-04-11,2.22,0.929,1.143,0.305
1993-04-12,2.297,1.091,1.282,0.341
1993-04-13,2.123,1.196,1.634,0.765
1993-04-14,1.956,1.51,1.883,1.061
1993-04-15,1.932,1.529,1.649,0.863
1993-04-16,1.918,1.372,1.576,0.788
1993-04-17,2.073,1.3,1.572,0.761
1993-04-18,2.303,1.267,1.475,0.611
1993-04-19,2.167,1.174,1.291,0.518
1993-04-20,2.186,1.125,1.247,0.496
1993-04-21,2.249,1.187,1.288,0.492
1993-04-22,2.382,1.4,1.438,0.557
1993-04-23,2.578,1.624,1.62,0.669
1993-04-24,2.476,1.615,1.762,0.729
1993-04-25,2.337,1.548,1.811,0.823
1993-04-26,2.646,1.732,2.024,0.989
1993-04-27,2.504,1.649,2.121,1.05
1993-04-28,2.84,1.957,2.327,1.384
1993-04-29,2.868,2.321,2.624,1.772
1993-04-30,2.923,2.46,2.765,1.943
1993-05-01,2.956,2.452,2.737,1.927
1993-05-02,3.01,2.364,2.648,1.798
1993-05-03,3.224,2.34,2.673,1.727
1993-05-04,3.452,2.364,2.739,1.576
1993-05-05,3.56,2.289,2.471,1.332
1993-05-06,3.603,2.23,2.323,1.201
1993-05-07,3.287,2.09,2.222,1.072
1993-05-08,3.473,2.163,2.27,1.124
1993-05-09,3.708,2.273,2.374,1.193
1993-05-10,4.113,2.444,2.511,1.321
1993-05-11,4.429,2.586,2.72,1.441
