"Date","47 m","66 m","78 m","92 m","110 m"
1993-01-01,6.659,6.321,8.092,8.766,7.685
1993-01-02,6.963,6.441,8.391,8.817,7.763
1993-01-03,7.445,6.969,8.693,8.751,7.857
1993-01-04,6.743,6.869,8.58,8.793,7.757
1993-01-05,6.845,6.013,8.048,8.735,7.533
1993-01-06,6.687,6.669,8.148,8.542,7.504
1993-01-07,6.301,6.823,8.142,8.332,7.519
1993-01-08,6.105,6.655,8.011,8.358,7.391
1993-01-09,6.767,6.557,7.882,8.337,7.289
1993-01-10,6.992,6.522,7.755,8.281,7.219
1993-01-11,6.501,5.872,7.102,8.293,6.981
1993-01-12,5.874,5.27,6.8,8.21,6.771
1993-01-13,5.645,5.295,6.809,8.172,6.65
1993-01-14,5.461,5.165,6.72,8.02,6.524
1993-01-15,5.067,4.648,6.317,7.548,6.277
1993-01-16,4.514,4.312,6.079,7.227,6.101
1993-01-17,4.491,4.658,6.186,7.13,5.913
1993-01-18,4.358,5.296,6.202,7.004,5.748
1993-01-19,4.274,5.699,6.324,6.983,5.608
1993-01-20,4.984,5.967,6.592,6.904,5.621
1993-01-21,5.686,5.874,6.619,6.746,5.659
1993-01-22,5.359,5.826,6.481,6.732,5.515
1993-01-23,4.951,5.614,6.205,6.69,5.408
1993-01-24,4.759,5.601,6.019,6.598,5.337
1993-01-25,4.578,5.601,6.097,6.5,5.277
1993-01-26,4.379,5.419,6.153,6.364,5.27
1993-01-27,4.753,5.515,6.17,6.053,5.44
1993-01-28,5.042,5.46,6.113,6.015,5.441
1993-01-29,4.62,5.266,6.149,6.081,5.343
1993-01-30,4.308,5.193,6.171,6.071,5.285
1993-01-31,4.385,5.352,6.046,5.999,5.324
1993-02-01,4.916,5.392,5.863,5.964,5.434
1993-02-02,4.313,4.59,5.712,6.089,5.304
1993-02-03,4.338,4.016,5.654,6.282,5.229
1993-02-04,3.666,3.437,5.188,6.298,5.112
1993-02-05,3.84,3.781,5.446,6.332,4.931
1993-02-06,4.058,4.511,5.712,6.247,4.718
1993-02-07,4.072,4.759,5.748,6.137,4.528
1993-02-08,3.352,4.428,5.031,5.994,4.322
1993-02-09,2.934,3.369,4.328,5.816,4.199
1993-02-10,2.872,4.075,4.81,5.509,4.053
1993-02-11,2.79,3.988,4.684,5.243,3.955
1993-02-12,2.758,4.034,4.82,4.959,3.868
1993-02-13,2.681,3.706,4.566,4.826,3.807
1993-02-14,2.4,2.484,3.477,4.846,3.773
1993-02-15,2.244,2.753,3.898,4.533,3.738
1993-02-16,2.438,3.691,4.439,4.109,3.686
1993-02-17,2.396,3.224,4.245,4.172,3.657
1993-02-18,2.176,2.41,3.761,4.224,3.614
1993-02-19,2.237,3.52,4.102,3.906,3.614
1993-02-20,2.492,3.62,4.01,3.847,3.636
1993-02-21,2.363,3.009,3.938,3.887,3.576
1993-02-22,2.175,2.964,3.977,3.884,3.506
1993-02-23,2.038,2.075,3.867,3.931,3.46
1993-02-24,1.977,1.948,3.932,3.951,3.436
1993-02-25,2.008,2.464,4.04,3.982,3.444
1993-02-26,2.22,2.869,4.15,3.94,3.456
1993-02-27,2.142,3.114,4.172,3.924,3.449
1993-02-28,2.005,3.041,4.131,3.938,3.401
1993-03-01,2.241,2.91,3.991,3.984,3.377
1993-03-02,2.199,2.92,3.494,4.081,3.385
1993-03-03,1.774,3.131,3.608,4.091,3.306
1993-03-04,1.547,3.063,3.686,4.068,3.19
1993-03-05,1.504,2.956,3.559,4.04,3.1
1993-03-06,1.242,2.238,2.606,3.905,2.974
1993-03-07,0.254,0.837,1.436,3.481,2.626
1993-03-08,0.588,0.804,2.119,3.928,2.652
1993-03-09,0.918,1.892,3.056,3.799,2.627
1993-03-10,0.935,2.047,3.058,3.685,2.548
1993-03-11,0.755,1.792,2.493,3.618,2.496
1993-03-12,0.579,1.795,2.101,3.532,2.444
1993-03-13,0.596,2.113,2.309,3.386,2.427
1993-03-14,0.568,1.8,2.268,3.07,2.389
1993-03-15,0.484,0.7,1.514,2.844,2.315
1993-03-16,1.117,2.014,2.361,2.669,2.443
1993-03-17,1.992,2.294,2.346,2.544,2.515
1993-03-18,1.893,2.276,2.399,2.699,2.468
1993-03-19,1.904,2.348,2.535,2.894,2.433
1993-03-20,1.899,2.3,2.496,2.876,2.451
1993-03-21,1.882,1.837,2.299,2.773,2.433
1993-03-22,1.806,1.774,2.341,2.816,2.424
1993-03-23,1.771,2.034,2.528,2.923,2.43
1993-03-24,1.744,2.209,2.689,3.002,2.453
1993-03-25,1.677,2.087,2.61,2.992,2.454
1993-03-26,1.663,1.984,2.527,2.993,2.45
1993-03-27,1.644,2.047,2.583,2.997,2.452
1993-03-28,1.603,2.064,2.617,2.997,2.452
1993-03-29,1.58,2.061,2.639,3.007,2.453
1993-03-30,1.561,2.031,2.584,3.015,2.448
1993-03-31,1.527,1.948,2.475,3.05,2.423
1993-04-01,1.518,1.934,2.422,3.097,2.411
1993-04-02,1.483,1.847,2.215,3.098,2.394
1993-04-03,1.373,1.699,2.16,3.21,2.361
1993-04-04,1.306,1.817,2.322,3.389,2.357
1993-04-05,1.323,1.885,2.222,3.266,2.347
1993-04-06,1.384,1.954,2.174,3.178,2.334
1993-04-07,1.454,1.977,2.178,3.158,2.318
1993-04-08,1.489,2.021,2.161,3.091,2.264
1993-04-09,1.497,2.049,2.09,2.963,2.189
1993-04-10,1.479,2.067,2.012,2.849,2.129
1993-04-11,1.47,2.047,1.901,2.708,2.082
1993-04-12,1.385,2.013,1.738,2.556,2.011
1993-04-13,1.33,1.959,1.712,2.518,1.98
1993-04-14,1.398,1.897,1.753,2.47,2.014
1993-04-15,1.528,1.855,1.703,2.383,2.019
1993-04-16,1.538,1.819,1.608,2.279,1.992
1993-04-17,1.533,1.807,1.54,2.196,1.948
1993-04-18,1.62,1.817,1.5,2.112,1.906
1993-04-19,1.597,1.691,1.615,2.083,1.936
1993-04-20,1.826,1.49,1.756,2.005,2.036
1993-04-21,1.855,1.463,1.773,2.012,2.057
1993-04-22,1.863,1.527,1.813,2.188,2.038
1993-04-23,1.901,1.601,1.888,2.391,2.004
1993-04-24,2.071,1.688,1.975,2.552,2.021
1993-04-25,2.069,1.743,2.124,2.887,2.112
1993-04-26,1.914,1.769,2.245,3.028,2.186
1993-04-27,2.171,1.84,2.329,3.138,2.284
1993-04-28,2.269,1.854,2.461,3.334,2.527
1993-04-29,2.334,1.851,2.375,3.183,2.658
1993-04-30,2.399,2.154,2.309,2.926,2.567
1993-05-01,2.541,2.545,2.32,2.805,2.537
1993-05-02,2.652,2.631,2.321,2.744,2.713
1993-05-03,2.702,2.49,2.312,2.709,2.99
1993-05-04,2.764,2.525,2.3,2.622,3.115
1993-05-05,2.812,2.417,2.285,2.612,3.376
1993-05-06,2.928,2.145,2.282,2.724,3.81
1993-05-07,2.917,1.928,2.285,2.907,4.174
1993-05-08,2.71,1.881,2.319,3.077,4.323
1993-05-09,2.552,1.877,2.354,3.18,4.385
1993-05-10,2.465,1.855,2.395,3.295,4.431
1993-05-11,2.495,1.871,2.375,3.265,4.406
1993-05-12,2.594,1.953,2.352,3.212,4.321
1993-05-13,2.695,2.08,2.391,3.199,4.237
1993-05-14,2.796,2.173,2.459,3.22,4.272
1993-05-15,2.884,2.246,2.539,3.281,4.449
1993-05-16,3.023,2.322,2.591,3.307,4.587
1993-05-17,3.112,2.417,2.634,3.312,4.693
1993-05-18,3.143,2.482,2.693,3.393,4.852
1993-05-19,3.292,2.463,2.76,3.524,4.998
1993-05-20,3.434,2.438,2.804,3.593,5.033
1993-05-21,3.484,2.465,2.865,3.677,5.041
1993-05-22,3.496,2.497,2.948,3.763,5.025
1993-05-23,3.376,2.586,3.048,3.831,4.979
1993-05-24,3.183,2.699,3.136,3.885,4.919
1993-05-25,2.912,2.756,3.199,3.902,4.849
1993-05-26,2.821,2.671,3.22,3.888,4.82
1993-05-27,2.917,2.72,3.255,3.936,4.813
1993-05-28,2.927,2.934,3.326,4.049,4.84
1993-05-29,2.898,3.008,3.364,4.113,4.875
1993-05-30,2.934,2.88,3.33,4.113,4.888
1993-05-31,2.95,3.058,3.365,4.252,4.907
1993-06-01,2.931,3.142,3.352,4.195,4.929
1993-06-02,3.04,3.137,3.232,3.937,4.737
1993-06-03,3.183,3.225,3.22,3.924,4.803
1993-06-04,3.31,3.129,3.284,4.005,5.108
1993-06-05,3.435,3.151,3.305,4.035,5.215
1993-06-06,3.484,3.176,3.297,4.026,5.235
1993-06-07,3.488,3.241,3.26,3.948,5.189
1993-06-08,3.361,3.288,3.277,3.961,5.11
1993-06-09,3.528,3.254,3.38,4.183,5.408
1993-06-10,3.671,3.199,3.471,4.373,5.527
1993-06-11,3.713,3.142,3.511,4.45,5.567
1993-06-12,3.769,3.185,3.533,4.511,5.58
1993-06-13,3.801,3.22,3.519,4.483,5.578
1993-06-14,3.77,3.295,3.509,4.434,5.542
1993-06-15,3.861,3.376,3.562,4.501,5.615
