"Date","22 m","47 m","78 m","110 m","131 m"
1993-01-01,6.037,6.14,6.277,7.831,7.548
1993-01-02,5.625,5.845,5.977,7.754,7.369
1993-01-03,5.096,5.465,5.408,7.624,7.155
1993-01-04,5.212,5.299,5.3,7.508,6.99
1993-01-05,4.998,5.037,5.466,7.055,6.766
1993-01-06,4.944,5.214,5.973,6.502,6.692
1993-01-07,5.044,5.633,6.066,5.942,6.811
1993-01-08,4.952,5.789,6.035,5.793,6.964
1993-01-09,4.786,5.759,5.995,5.745,6.981
1993-01-10,4.498,5.651,5.962,5.734,6.96
1993-01-11,4.401,5.584,5.955,5.824,6.968
1993-01-12,4.461,5.596,5.984,5.849,6.915
1993-01-13,4.645,5.661,5.998,5.843,6.755
1993-01-14,4.634,5.594,5.866,5.827,6.585
1993-01-15,4.437,5.407,5.485,5.722,6.287
1993-01-16,4.208,4.871,5.031,5.343,5.52
1993-01-17,4.177,4.91,5.323,4.922,5.189
1993-01-18,4.297,5.356,5.505,4.858,5.257
1993-01-19,3.955,5.608,5.51,5.016,5.317
1993-01-20,4.439,5.485,5.503,5.125,5.38
1993-01-21,4.098,5.29,5.492,5.178,5.491
1993-01-22,3.891,5.208,5.455,5.215,5.645
1993-01-23,4.053,5.259,5.431,5.249,5.612
1993-01-24,4.221,5.411,5.425,5.302,5.522
1993-01-25,4.309,5.393,5.32,5.324,5.447
1993-01-26,3.922,5.19,5.156,5.31,5.373
1993-01-27,3.889,4.89,4.97,5.283,5.386
1993-01-28,3.849,4.575,4.947,5.293,5.442
1993-01-29,3.537,4.198,4.97,5.346,5.459
1993-01-30,3.396,4.137,4.513,5.382,5.28
1993-01-31,3.142,4.171,4.295,5.358,5.318
1993-02-01,3.27,3.986,4.316,5.414,5.17
1993-02-02,3.127,3.726,4.302,5.425,4.554
1993-02-03,3.167,3.528,4.228,5.217,4.134
1993-02-04,2.965,3.499,3.925,4.661,3.845
1993-02-05,2.545,3.5,4.188,4.146,3.834
1993-02-06,2.624,4.048,4.443,3.875,4.173
1993-02-07,2.791,4.19,4.509,4.049,4.245
1993-02-08,2.781,4.176,4.435,4.25,4.16
1993-02-09,2.243,3.97,4.103,4.283,4.045
1993-02-10,2.378,3.254,3.687,4.202,3.84
1993-02-11,2.197,2.764,3.697,3.968,3.736
1993-02-12,2.224,2.903,3.838,3.818,3.786
1993-02-13,2.326,3.251,3.906,3.755,3.863
1993-02-14,2.511,3.597,3.88,3.821,3.857
1993-02-15,2.539,3.582,3.875,3.833,3.823
1993-02-16,2.71,3.577,3.826,3.808,3.81
1993-02-17,2.844,3.481,3.748,3.763,3.782
1993-02-18,2.775,3.37,3.67,3.698,3.728
1993-02-19,2.641,3.206,3.612,3.628,3.666
1993-02-20,2.496,3.081,3.536,3.594,3.641
1993-02-21,2.289,2.942,3.454,3.584,3.613
1993-02-22,2.164,2.76,3.354,3.554,3.576
1993-02-23,2.304,2.802,3.127,3.531,3.489
1993-02-24,2.375,2.802,2.765,3.429,3.301
1993-02-25,2.328,2.675,2.495,3.228,3.078
1993-02-26,2.025,2.359,2.408,3.046,2.98
1993-02-27,1.865,2.008,2.406,2.939,2.966
1993-02-28,1.781,1.853,2.419,2.934,2.934
1993-03-01,1.515,1.797,2.403,3.003,2.955
1993-03-02,1.386,1.882,2.37,3.045,2.925
1993-03-03,1.403,1.984,2.309,3.028,2.855
1993-03-04,1.518,2.098,2.142,2.887,2.725
1993-03-05,1.587,2.017,2.077,2.638,2.595
1993-03-06,1.48,1.943,2.223,2.351,2.494
1993-03-07,1.402,2.364,2.512,2.207,2.457
1993-03-08,1.386,2.566,2.563,2.392,2.43
1993-03-09,1.598,2.539,2.52,2.478,2.446
1993-03-10,1.606,2.393,2.311,2.427,2.396
1993-03-11,1.51,2.233,2.208,2.341,2.348
1993-03-12,1.39,2.186,2.173,2.249,2.324
1993-03-13,1.237,2.227,2.202,2.159,2.311
1993-03-14,1.331,2.254,2.257,2.145,2.348
