"Date","18 m","25 m","29 m","34 m","40 m","47 m","56 m","66 m"
1993-01-01,2.381,2.351,2.403,2.231,2.733,2.954,2.726,2.678
1993-01-02,2.299,2.421,2.343,2.085,2.675,2.862,2.635,2.589
1993-01-03,2.004,2.315,1.932,1.898,2.578,2.847,2.605,2.5
1993-01-04,1.83,2.103,1.694,1.855,2.462,2.702,2.524,2.43
1993-01-05,1.743,1.887,1.701,1.922,2.338,2.677,2.461,2.291
1993-01-06,1.886,1.877,1.732,1.96,2.277,2.489,2.32,2.19
1993-01-07,1.878,1.923,1.647,1.879,2.252,2.397,2.271,2.119
1993-01-08,1.77,1.837,1.639,1.871,2.115,2.32,2.3,2.07
1993-01-09,1.603,1.803,1.557,1.802,1.92,2.198,2.27,1.996
1993-01-10,1.362,1.61,1.39,1.67,1.737,2.002,2.184,1.897
1993-01-11,1.184,1.241,1.259,1.607,1.62,1.785,2.099,1.826
1993-01-12,1.102,1.181,1.099,1.507,1.529,1.666,2.084,1.775
1993-01-13,1.024,1.132,0.908,1.406,1.493,1.596,2.094,1.772
1993-01-14,0.706,0.831,0.569,1.113,1.227,1.481,2.032,1.707
1993-01-15,0.236,0.353,0.252,0.872,0.889,1.159,1.808,1.618
1993-01-16,0.259,0.197,0.272,0.789,1.016,1.128,1.737,1.58
1993-01-17,0.353,0.262,0.309,0.815,1.161,1.187,1.798,1.609
1993-01-18,0.295,0.256,0.128,0.768,1.141,1.207,1.773,1.631
1993-01-19,0.201,0.286,0.026,0.774,1.158,1.322,1.735,1.637
1993-01-20,0.066,0.193,-0.264,0.399,1.157,1.294,1.599,1.638
1993-01-21,-0.091,0.284,-0.446,0.193,0.919,1.349,1.628,1.633
1993-01-22,-0.241,0.137,-0.349,0.239,0.505,1.273,1.517,1.448
1993-01-23,-0.138,0.024,-0.295,0.331,0.484,0.971,1.286,1.246
1993-01-24,-0.036,-0.02,-0.365,0.44,0.574,0.91,1.268,1.231
1993-01-25,0.005,0.095,-0.355,0.481,0.617,0.897,1.291,1.286
1993-01-26,0.092,0.046,-0.36,0.455,0.886,1.24,1.454,1.443
1993-01-27,0.011,0.46,-0.477,0.218,0.979,1.332,1.446,1.511
1993-01-28,0.01,0.302,-0.647,0.165,0.913,1.261,1.451,1.498
1993-01-29,-0.069,0.396,-0.672,0.179,0.612,1.228,1.424,1.361
1993-01-30,-0.226,0.406,-0.582,0.232,0.396,1.123,1.322,1.236
1993-01-31,-0.431,0.558,-0.721,0.108,0.33,1.036,1.23,1.181
1993-02-01,-0.557,0.314,-0.942,-0.086,0.292,0.783,1.112,1.19
1993-02-02,-0.896,-0.75,-1.016,-0.238,-0.113,0.227,0.777,1.041
1993-02-03,-0.91,-1.109,-0.954,-0.275,-0.221,-0.57,0.366,0.836
1993-02-04,-0.762,-1.12,-0.966,-0.363,-0.117,-0.501,0.34,0.713
1993-02-05,-0.802,-1.025,-1.041,-0.476,-0.107,-0.294,0.401,0.733
1993-02-06,-0.877,-0.954,-1.172,-0.35,-0.016,-0.117,0.682,0.903
1993-02-07,-0.968,-0.975,-1.355,-0.335,-0.14,-0.224,0.664,0.89
1993-02-08,-1.269,-1.111,-1.435,-0.415,-0.551,-0.355,0.551,0.817
1993-02-09,-1.301,-1.118,-1.425,-0.455,-0.748,-0.096,0.585,0.671
1993-02-10,-1.293,-1.066,-1.435,-0.453,-0.807,-0.153,0.555,0.547
1993-02-11,-1.294,-1.088,-1.44,-0.409,-0.801,-0.114,0.616,0.545
1993-02-12,-1.307,-1.08,-1.465,-0.45,-0.882,-0.325,0.39,0.379
1993-02-13,-1.326,-1.191,-1.469,-0.509,-0.825,-0.75,0.145,0.376
1993-02-14,-1.158,-1.301,-1.487,-0.565,-0.551,-0.483,0.295,0.579
1993-02-15,-1.074,-1.145,-1.411,-0.57,-0.477,-0.122,0.413,0.585
1993-02-16,-1.022,-1.014,-1.382,-0.411,-0.382,-0.051,0.623,0.674
1993-02-17,-1.025,-1.093,-1.429,-0.434,-0.256,-0.032,0.702,0.809
1993-02-18,-0.872,-0.915,-1.342,-0.315,0.037,0.629,0.96,0.966
1993-02-19,-0.861,-0.541,-1.337,-0.357,-0.072,0.785,0.996,0.897
1993-02-20,-1.028,-0.538,-1.452,-0.431,-0.237,0.533,0.874,0.825
1993-02-21,-1.09,-0.602,-1.44,-0.387,-0.286,0.503,0.922,0.826
1993-02-22,-1.203,-0.74,-1.491,-0.428,-0.505,0.163,0.749,0.692
1993-02-23,-1.234,-1.074,-1.465,-0.444,-0.631,-0.054,0.612,0.584
1993-02-24,-1.166,-1.134,-1.356,-0.439,-0.568,-0.201,0.495,0.517
1993-02-25,-1.05,-1.085,-1.301,-0.444,-0.425,-0.222,0.516,0.54
1993-02-26,-1.055,-1.041,-1.389,-0.514,-0.354,-0.204,0.588,0.605
1993-02-27,-1.09,-1.018,-1.457,-0.51,-0.327,-0.193,0.633,0.663
1993-02-28,-1.152,-1.112,-1.522,-0.518,-0.436,-0.174,0.641,0.64
1993-03-01,-1.315,-1.327,-1.529,-0.535,-0.812,-0.57,0.302,0.446
1993-03-02,-1.315,-1.326,-1.42,-0.532,-0.921,-0.654,0.207,0.319
1993-03-03,-1.195,-1.205,-1.375,-0.565,-0.784,-0.54,0.293,0.318
1993-03-04,-1.106,-1.074,-1.363,-0.47,-0.691,-0.425,0.477,0.358
1993-03-05,-1.195,-1.108,-1.411,-0.532,-0.721,-0.423,0.458,0.377
1993-03-06,-1.345,-1.323,-1.482,-0.554,-0.899,-0.87,0.141,0.253
1993-03-07,-1.349,-1.353,-1.452,-0.603,-1.019,-1.225,-0.149,0.114
1993-03-08,-1.327,-1.314,-1.443,-0.823,-0.937,-0.937,-0.165,0.107
1993-03-09,-1.252,-1.198,-1.386,-0.491,-0.868,-0.797,0.192,0.171
1993-03-10,-1.223,-1.168,-1.364,-0.421,-0.827,-0.789,0.227,0.239
1993-03-11,-1.252,-1.199,-1.353,-0.455,-0.889,-0.754,0.209,0.277
1993-03-12,-1.326,-1.232,-1.381,-0.603,-0.967,-0.581,0.179,0.279
1993-03-13,-1.31,-1.184,-1.387,-0.551,-0.891,-0.488,0.277,0.348
1993-03-14,-1.285,-1.235,-1.422,-0.57,-0.806,-0.595,0.232,0.36
1993-03-15,-0.834,-0.899,-1.188,-0.37,-0.316,0.363,0.599,0.482
1993-03-16,-0.769,-0.445,-1.241,-0.436,-0.278,0.489,0.647,0.507
1993-03-17,-0.779,-0.458,-1.186,-0.414,-0.142,0.412,0.651,0.616
1993-03-18,-0.476,-0.421,-1.001,-0.22,0.031,0.431,0.694,0.649
1993-03-19,-0.653,-0.265,-1.229,-0.479,-0.139,0.399,0.642,0.598
1993-03-20,-0.817,-0.37,-1.227,-0.505,-0.332,0.29,0.536,0.563
1993-03-21,-0.876,-0.429,-1.128,-0.445,-0.549,0.138,0.342,0.41
1993-03-22,-0.952,-0.592,-1.057,-0.447,-0.688,-0.226,0.026,0.214
1993-03-23,-0.951,-0.707,-0.984,-0.388,-0.727,-0.48,-0.133,0.115
1993-03-24,-0.87,-0.776,-0.914,-0.36,-0.683,-0.632,-0.197,0.115
1993-03-25,-0.778,-0.829,-0.823,-0.28,-0.63,-0.643,-0.142,0.156
1993-03-26,-0.705,-0.874,-0.714,-0.163,-0.631,-0.54,-0.095,0.152
1993-03-27,-0.666,-0.88,-0.647,-0.108,-0.648,-0.485,-0.111,0.119
1993-03-28,-0.617,-0.843,-0.543,0.002,-0.631,-0.467,-0.135,0.117
1993-03-29,-0.524,-0.798,-0.446,0.12,-0.607,-0.472,-0.169,0.098
1993-03-30,-0.391,-0.652,-0.322,0.275,-0.611,-0.487,-0.214,0.071
1993-03-31,-0.317,-0.365,-0.275,0.222,-0.666,-0.553,-0.295,0.013
1993-04-01,-0.384,-0.502,-0.326,-0.052,-0.707,-0.65,-0.406,-0.057
1993-04-02,-0.401,-0.512,-0.27,-0.032,-0.725,-0.706,-0.44,-0.11
1993-04-03,-0.426,-0.457,-0.203,-0.018,-0.732,-0.751,-0.452,-0.171
1993-04-04,-0.568,-0.394,-0.209,-0.209,-0.723,-0.781,-0.452,-0.221
1993-04-05,-0.685,-0.448,-0.269,-0.409,-0.745,-0.787,-0.426,-0.256
1993-04-06,-0.696,-0.49,-0.288,-0.403,-0.76,-0.782,-0.4,-0.286
1993-04-07,-0.659,-0.509,-0.228,-0.239,-0.762,-0.779,-0.367,-0.276
1993-04-08,-0.595,-0.527,-0.163,0.003,-0.748,-0.773,-0.256,-0.252
1993-04-09,-0.551,-0.533,-0.184,0.158,-0.739,-0.766,-0.155,-0.212
1993-04-10,-0.525,-0.529,-0.188,0.25,-0.728,-0.759,-0.141,-0.165
1993-04-11,-0.535,-0.498,-0.255,0.223,-0.736,-0.752,-0.147,-0.105
1993-04-12,-0.622,-0.445,-0.523,-0.17,-0.771,-0.74,-0.165,-0.068
1993-04-13,-0.661,-0.375,-0.652,-0.422,-0.782,-0.735,-0.231,-0.085
1993-04-14,-0.651,-0.405,-0.528,-0.317,-0.789,-0.732,-0.223,-0.111
1993-04-15,-0.601,-0.484,-0.203,-0.091,-0.816,-0.751,-0.195,-0.183
1993-04-16,-0.552,-0.57,0.146,-0.02,-0.839,-0.784,-0.235,-0.265
1993-04-17,-0.439,-0.573,0.31,0.166,-0.789,-0.822,-0.15,-0.351
1993-04-18,-0.568,-0.529,0.035,0.093,-0.889,-0.858,0.013,-0.332
1993-04-19,-0.666,-0.553,-0.061,0.223,-0.919,-0.833,0.111,-0.202
1993-04-20,-0.576,-0.588,-0.033,0.51,-0.803,-0.814,0.158,-0.064
1993-04-21,-0.475,-0.62,0.013,0.757,-0.658,-0.761,0.219,0.082
1993-04-22,-0.442,-0.573,0.004,0.908,-0.514,-0.653,0.296,0.267
1993-04-23,-0.331,-0.467,0.028,1.108,-0.387,-0.495,0.369,0.359
1993-04-24,-0.332,-0.382,0.036,1.198,-0.291,-0.287,0.463,0.433
1993-04-25,-0.027,-0.355,0.184,1.349,-0.22,-0.213,0.483,0.392
1993-04-26,0.163,-0.281,0.288,1.484,-0.202,-0.201,0.501,0.367
1993-04-27,0.066,-0.316,0.375,1.586,-0.147,-0.062,0.542,0.321
1993-04-28,0.407,-0.11,0.366,1.434,-0.206,-0.106,0.477,0.272
1993-04-29,0.536,0.396,0.415,1.335,-0.299,-0.187,0.371,0.217
1993-04-30,0.587,0.558,0.611,1.265,-0.317,-0.275,0.159,0.104
