"Date","40 m","56 m","66 m"
1993-01-01,1.897,2.427,2.468
1993-01-02,1.873,2.59,2.692
1993-01-03,1.615,2.655,2.715
1993-01-04,1.21,2.409,2.139
1993-01-05,1.321,2.313,2.04
1993-01-06,1.427,2.248,2.143
1993-01-07,1.349,2.099,2.049
1993-01-08,1.247,1.945,2.008
1993-01-09,1.137,1.789,1.872
1993-01-10,0.972,1.437,1.538
1993-01-11,0.88,1.181,1.329
1993-01-12,0.876,1.548,1.644
1993-01-13,0.866,1.452,1.445
1993-01-14,0.652,1.399,1.401
1993-01-15,0.363,1.238,1.463
1993-01-16,0.547,1.661,1.833
1993-01-17,0.62,1.834,1.929
1993-01-18,0.582,1.819,1.926
1993-01-19,0.748,1.874,1.932
1993-01-20,0.171,1.716,1.558
1993-01-21,-0.495,0.601,0.408
1993-01-22,-0.603,-0.319,0.135
1993-01-23,-0.406,0.231,0.714
1993-01-24,-0.388,0.505,0.968
1993-01-25,-0.335,1.004,1.328
1993-01-26,0.122,1.507,1.715
1993-01-27,0.057,1.617,1.703
1993-01-28,-0.561,0.836,0.763
1993-01-29,-0.54,0.759,0.792
1993-01-30,-0.48,0.713,1.003
1993-01-31,-0.449,1.051,1.361
1993-02-01,-1.023,0.47,0.272
1993-02-02,-1.126,-0.853,-0.683
1993-02-03,-0.978,-0.61,-0.407
1993-02-04,-0.852,0.487,0.705
1993-02-05,-0.791,1.252,1.393
1993-02-06,-0.862,1.264,1.363
1993-02-07,-1.141,0.693,0.68
1993-02-08,-1.282,0.015,-0.145
1993-02-09,-0.915,0.353,0.359
1993-02-10,-0.983,0.366,0.399
1993-02-11,-1.142,-0.036,-0.142
1993-02-12,-1.156,-0.202,-0.132
1993-02-13,-1.24,-0.668,-0.577
1993-02-14,-0.912,0.013,0.372
1993-02-15,-0.501,1.133,1.435
1993-02-16,-0.469,1.226,1.483
1993-02-17,-0.616,1.135,1.272
1993-02-18,-0.423,1.075,1.241
1993-02-19,-0.132,1.195,1.356
1993-02-20,-0.398,1.121,1.28
1993-02-21,-0.753,0.99,0.926
1993-02-22,-1.143,0.516,0.362
1993-02-23,-1.153,0.236,0.322
1993-02-24,-1,0.545,0.757
1993-02-25,-0.904,0.718,0.948
1993-02-26,-0.921,0.733,0.969
1993-02-27,-1.102,0.551,0.761
1993-02-28,-1.322,0.103,0.297
1993-03-01,-1.388,-1.1,-0.651
1993-03-02,-1.3,-0.161,0.387
1993-03-03,-1.19,0.681,0.93
1993-03-04,-1.123,0.839,1.034
1993-03-05,-1.18,0.626,0.776
1993-03-06,-1.331,-0.645,-0.46
1993-03-07,-1.283,-1.256,-0.658
1993-03-08,-1.061,0.548,0.913
1993-03-09,-1.054,0.804,0.968
1993-03-10,-1.225,0.365,0.392
1993-03-11,-1.21,0.259,0.223
1993-03-12,-1.214,0.322,0.298
1993-03-13,-1.25,0.251,0.306
1993-03-14,-1.369,-0.124,-0.1
1993-03-15,-0.721,0.339,0.585
1993-03-16,-0.409,0.873,1.02
1993-03-17,-0.665,0.781,0.734
1993-03-18,-0.574,0.707,0.856
1993-03-19,-0.761,0.652,0.721
1993-03-20,-1.085,-0.454,-0.386
1993-03-21,-1.18,-0.628,-0.295
